MYEAR	SDATE	STIME	SHIPC	SERNO	STATN	LATIT_DD	LONGI_DD	VISS_EU_CD	WATER_BODY_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	DEPH	TEMP_BTL	Q_TEMP_BTL	TEMP_CTD	Q_TEMP_CTD	SALT_BTL	Q_SALT_BTL	SALT_CTD	Q_SALT_CTD	DOXY_BTL	Q_DOXY_BTL	DOXY_CTD	Q_DOXY_CTD	PHOS	Q_PHOS	NTRI	Q_NTRI	NTRA	Q_NTRA	NTRZ	Q_NTRZ	AMON	Q_AMON	CPHL_BTL	Q_CPHL_BTL	SECCHI	Q_SECCHI	NTOT	Q_NTOT	PTOT	Q_PTOT	origin_dtype	origin_file_path	DIN	MONTH	YEAR	visit_id_str	SALT	Q_SALT	source_SALT	TEMP	Q_TEMP	source_TEMP	DOXY	Q_DOXY	source_DOXY	index_column
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0.0	6.42		6.4				27.71		6.94				0.44		0.28		3.52		3.8		0.88		1.6				15.6		0.92		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.68	12	2017	58.3536711.240002017-12-0607:30	27.71		SALT_CTD	6.42		TEMP_BTL	6.94		DOXY_BTL	0
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	2.0	6.39		6.38				27.66		6.93				0.43		0.27		3.4		3.67		0.88		1.1				15.7		0.92		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.55	12	2017	58.3536711.240002017-12-0607:30	27.66		SALT_CTD	6.39		TEMP_BTL	6.93		DOXY_BTL	1
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	5.0	6.52		6.45				27.83		6.9				0.42		0.26		3.47		3.73		0.81		0.8				14.7		0.85		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.54	12	2017	58.3536711.240002017-12-0607:30	27.83		SALT_CTD	6.52		TEMP_BTL	6.9		DOXY_BTL	2
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	10.0	7.28		7.24				28.88		6.89				0.45		0.26		3.34		3.6		0.63		1.1				13.5		0.8		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.23	12	2017	58.3536711.240002017-12-0607:30	28.88		SALT_CTD	7.28		TEMP_BTL	6.89		DOXY_BTL	3
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	15.0	7.65		7.69		29.664		29.74		6.6				0.46		0.3		3.52		3.82		0.6		0.5				13.4		0.9		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.42	12	2017	58.3536711.240002017-12-0607:30	29.664		SALT_BTL	7.65		TEMP_BTL	6.6		DOXY_BTL	4
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	20.0	8.27		8.32		30.654		30.83		6.3				0.46		0.32		3.51		3.83		0.36		0.3				13.3		0.88		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.19	12	2017	58.3536711.240002017-12-0607:30	30.654		SALT_BTL	8.27		TEMP_BTL	6.3		DOXY_BTL	5
2017	2017-12-06	07:30	77SN	0164	BYTTELOCKET	58.35367	11.24000	SE582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	27.0	9.09		9.01		32.628		32.45		5.58				0.63		0.37		3.66		4.03		1.56						13.7		1.13		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	5.59	12	2017	58.3536711.240002017-12-0607:30	32.628		SALT_BTL	9.09		TEMP_BTL	5.58		DOXY_BTL	6
2017	2017-12-06	13:45	77SN	0167	SKALKORGARNA	57.67883	11.76833	SE574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	0.0	6.15		6.16				19.77		7.45				0.38		0.21		6.44		6.65		2.19		2.2		3.0		24.6		0.92		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	8.84	12	2017	57.6788311.768332017-12-0613:45	19.77		SALT_CTD	6.15		TEMP_BTL	7.45		DOXY_BTL	7
2017	2017-12-06	13:45	77SN	0167	SKALKORGARNA	57.67883	11.76833	SE574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	2.0	6.26		6.25				21.56		7.31				0.37		0.18		4.81		4.99		1.78		2.0		3.0		21.4		0.92		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	6.77	12	2017	57.6788311.768332017-12-0613:45	21.56		SALT_CTD	6.26		TEMP_BTL	7.31		DOXY_BTL	8
2017	2017-12-06	13:45	77SN	0167	SKALKORGARNA	57.67883	11.76833	SE574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	5.0	6.41		6.41				22.2		7.31				0.37		0.17		3.96		4.13		1.55		1.1		3.0		20.3		0.87		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	5.68	12	2017	57.6788311.768332017-12-0613:45	22.2		SALT_CTD	6.41		TEMP_BTL	7.31		DOXY_BTL	9
2017	2017-12-06	13:45	77SN	0167	SKALKORGARNA	57.67883	11.76833	SE574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	10.0	7.61		7.41				25.91		6.52				0.48		0.2		2.96		3.16		1.23		0.7		3.0		16.5		0.97		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.39	12	2017	57.6788311.768332017-12-0613:45	25.91		SALT_CTD	7.61		TEMP_BTL	6.52		DOXY_BTL	10
2017	2017-12-06	13:45	77SN	0167	SKALKORGARNA	57.67883	11.76833	SE574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	14.0	8.18								6.23				0.54		0.23		2.97		3.2		1.07				3.0		13.3		1.04		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.27	12	2017	57.6788311.768332017-12-0613:45				8.18		TEMP_BTL	6.23		DOXY_BTL	11
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		0.0	5.89		5.86				26.8		7.06				0.39		0.24		3.58		3.82		0.81		1.8				16.4		0.98		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.63	12	2017	58.3433311.403332017-12-0608:25	26.8		SALT_CTD	5.89		TEMP_BTL	7.06		DOXY_BTL	12
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		2.0	5.92		5.96				26.89		7.1				0.39		0.24		3.54		3.78		0.81		1.4				16.1		0.9		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.59	12	2017	58.3433311.403332017-12-0608:25	26.89		SALT_CTD	5.92		TEMP_BTL	7.1		DOXY_BTL	13
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		5.0	6.19		6.09				27.07		6.94				0.4		0.24		3.55		3.79		0.8		1.0				15.1		0.81		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.59	12	2017	58.3433311.403332017-12-0608:25	27.07		SALT_CTD	6.19		TEMP_BTL	6.94		DOXY_BTL	14
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		10.0	6.61		6.51				28.05		6.82				0.44		0.28		3.92		4.2		0.88		0.5				15.0		0.87		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	5.08	12	2017	58.3433311.403332017-12-0608:25	28.05		SALT_CTD	6.61		TEMP_BTL	6.82		DOXY_BTL	15
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		15.0	7.59		7.39				29.65		6.4				0.49		0.3		4.25		4.55		0.79		0.3				14.2		0.84		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	5.34	12	2017	58.3433311.403332017-12-0608:25	29.65		SALT_CTD	7.59		TEMP_BTL	6.4		DOXY_BTL	16
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		20.0	8.19		8.67				31.5		6.13				0.5		0.27		3.99		4.26		0.34		0.2				12.3		0.91		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.6	12	2017	58.3433311.403332017-12-0608:25	31.5		SALT_CTD	8.19		TEMP_BTL	6.13		DOXY_BTL	17
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		30.0	9.04		9.03				32.48		6.0				0.52		0.31		3.61		3.92		0.39		0.3				12.0		0.98		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.31	12	2017	58.3433311.403332017-12-0608:25	32.48		SALT_CTD	9.04		TEMP_BTL	6.0		DOXY_BTL	18
2017	2017-12-06	08:25	77SN	0165	STRETUDDEN	58.34333	11.40333	SE582000-112350	Yttre Brofjorden		Västerhavets vattendistrikt	01n - Västkustens inre kustvatten		40.0	9.14		9.13				33.06		5.92				0.52		0.35		3.31		3.66		0.53						11.0		0.9		PhysicalChemical	sharkweb_data_fyskem_wb_2007-2017_20180320.txt	4.19	12	2017	58.3433311.403332017-12-0608:25	33.06		SALT_CTD	9.14		TEMP_BTL	5.92		DOXY_BTL	19
