STATUS2013din_winter	EU_CD	YEAR_count2013din_winter	global_EQR2013din_winter	WATER_TYPE_AREA	STATUS2017din_winter	YEAR_count2017din_winter	global_EQR2017din_winter	changedin_winter	STATUS2013ntot_winter	YEAR_count2013ntot_winter	global_EQR2013ntot_winter	STATUS2017ntot_winter	YEAR_count2017ntot_winter	global_EQR2017ntot_winter	changentot_winter	STATUS2013	YEAR_count2013	global_EQR2013	STATUS2017	YEAR_count2017	global_EQR2017	change
POOR	SE592000-184700	6	0.29675568660036866	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	6	0.39530123672757106	0	MODERATE	6	0.4775910555896781	MODERATE	6	0.4765407009173805	0	GOOD	6	0.6541856588425696	MODERATE	6	0.5935440260311626	-1
GOOD	SE581700-113000	6	0.7834260429271506	02 - Västkustens fjordar	MODERATE	6	0.5917144231783846	-1	HIGH	6	0.8191643526305138	GOOD	6	0.700790312366844	2	MODERATE	6	0.558919777643601	MODERATE	6	0.4998593429880768	0
MODERATE	SE561400-161201	6	0.5217527352469769	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	MODERATE	6	0.5013714117431868	0	GOOD	6	0.6048526902490742	MODERATE	6	0.4930002984796383	-1	MODERATE	6	0.5443549179871928	MODERATE	6	0.5474832543306674	0
POOR	SE562000-123800	6	0.29905826025933063	05 - Södra Hallands och norra Öresunds kustvatten	POOR	6	0.29905826025933063	0	GOOD	6	0.6888356693989528	MODERATE	6	0.5888804583079259	-1	MODERATE	6	0.5719598016080367	MODERATE	6	0.5719598016080367	0
MODERATE	SE633000-195000	6	0.47631432623004066	20 - Norra Kvarkens inre kustvatten	MODERATE	6	0.49539933828732496	0	GOOD	6	0.6096865017320269	GOOD	6	0.7345788250426695	0	HIGH	6	0.9484218559376946	HIGH	6	0.9075523919165789	0
MODERATE	SE625180-181655	6	0.47855747009189165	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	MODERATE	6	0.47855747009189165	0	HIGH	6	0.9347383357142078	HIGH	6	0.9299177994284467	0	HIGH	6	0.9064319238284866	HIGH	6	0.8933372962198365	0
POOR	SE592245-184400	6	0.2226866004039507	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	6	0.35350618212566054	0	POOR	6	0.3483541007371819	POOR	6	0.3693218515963177	0	GOOD	6	0.7219048985420043	GOOD	6	0.6245522077607176	0
BAD	SE591760-181955	5	0.17253764170987373	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	5	0.24133188031202898	2	POOR	5	0.29089922060088524	POOR	5	0.3038290967630604	0	MODERATE	5	0.5207439257492064	MODERATE	5	0.49377177912996784	0
POOR	SE591300-182800	5	0.22553747666597626	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	5	0.3107144037410152	0	MODERATE	5	0.44096293478452064	MODERATE	5	0.4466896148213164	0	MODERATE	6	0.5767139015035876	MODERATE	6	0.5572120498240278	0
POOR	SE592290-181600	6	0.22313729711745045	24 - Stockholms inre skärgård och Hallsfjärden	MODERATE	6	0.4005472701568568	2	POOR	6	0.25282614832276107	POOR	6	0.29613343670831965	0	MODERATE	6	0.4823013647354075	MODERATE	6	0.42953867863675105	0
BAD	SE592400-180800	2	0.1526594458032091	24 - Stockholms inre skärgård och Hallsfjärden	POOR	2	0.23335723564562227	2	BAD	2	0.15919182761372708	BAD	2	0.16869818318388807	0	MODERATE	6	0.4547318101019111	MODERATE	6	0.40269921592124075	0
POOR	SE592315-182620	6	0.23185041115156563	24 - Stockholms inre skärgård och Hallsfjärden	MODERATE	6	0.4049191726648974	2	POOR	6	0.26600944994608755	POOR	6	0.30613491864690945	0	MODERATE	6	0.5504898635569595	MODERATE	6	0.5008215995934407	0
POOR	SE592605-182310	6	0.23237740158068237	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	6	0.38903181414836474	0	POOR	6	0.31324547258779567	POOR	6	0.3438772606760847	0	MODERATE	6	0.5796695711884495	MODERATE	6	0.5382130345182863	0
