delivery_datatype	check_status_sv	data_checked_by_sv	visit_year	station_name	reported_station_name	sample_project_name_sv	sample_orderer_name_sv	visit_date	visit_enddate	shark_sample_id_md5	sample_latitude_dm	sample_longitude_dm	sample_latitude_dd	sample_longitude_dd	positioning_system_code	visit_comment	sampling_laboratory_name_sv	sampling_laboratory_accreditated	sampler_type_code	sample_comment	scientific_name	parameter	value	unit	observation_date	observation_time	method_documentation	variable_comment	analytical_laboratory_name_sv	analytical_laboratory_accreditated	unanalysed_original_data	location_water_category	location_water_district	location_svar_sea_area_name	location_svar_sea_area_code	location_type_area	location_sea_basin	location_helcom_ospar_area	location_economic_zone	location_county	location_municipality	station_viss_eu_id	monitoring_purpose_code	monitoring_program_code	taxon_kingdom	taxon_phylum	taxon_class	taxon_order	taxon_family	taxon_genus	taxon_species	taxon_hierarchy	taxon_red_list_category	reported_scientific_name	reported_parameter	reported_value	reported_unit	reporting_institute_name_sv	data_holding_centre	internet_access	dataset_name	dataset_file_name
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-06-25	23:33	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-06-25	23:37	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-06-25	23:40	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minutes	3	per day	2017-06-25		Undersökningstyp Tumlarbestånd				1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL														Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-09-10	22:21	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-09-10	22:16	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-09-10	22:17	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1020	1020	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-11	2017-10-14	f51e2e07e98d8c6f68684da9b1309120	55 52.41	15 48.09	55.87343	15.80158	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minutes	3	per day	2017-09-10		Undersökningstyp Tumlarbestånd				1020 2017 05 10 POD1938 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL														Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1024	1024	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-10	2017-10-09	5b85c76826314b9cae7d338761f4a032	56 03.26	15 59.86	56.05428	15.99768	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	N	Y/N	2017-05-10	00:00	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1024 2017 05 09 POD1951 file01	2 - Havsområde innanför 1 NM	Södra Östersjöns vattendistrikt	S Kalmarsunds utsjövatten	561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Blekinge län	Karlskrona		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
Harbour Porpoise	Pågående-SMHI	Leverantör	2017	1025	1025	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	2017-05-10	2017-10-09	838d18d11c729e093febfc323ec2dfb0	55 58.62	16 19.17	55.97695	16.31945	GPS		Naturhistoriska riksmuseet	N	CPOD		Phocoena phocoena	Porpoise positive minute	Y	Y/N	2017-07-30	03:45	Undersökningstyp Tumlarbestånd		Naturhistoriska riksmuseet	N	1025 2017 05 09 POD1235 file01	3 - Havsområde  mellan 1 NM och 12 NM		Del av Bornholmshavets utsjövatten	555851-160709		Bornholmshavet och Hanöbukten	HELCOM	Svensk ekonomisk zon	Kalmar län	Mörbylånga		B,R,S,T	NATL										Phocoena phocoena				Naturhistoriska riksmuseet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_HarbourPorpoise_2016_2017_MNHS	SHARK_HarbourPorpoise_2016_2017_MNHS_version_2018-06-20.zip
