% Biovolym Sommar	EKV Ref	EKV H/G	EKV G/M	EKV M/O	EKV O/D	Månad	EK H/G	EK G/M	EK M/O	EK O/D	Salthalt max
1n	0.8	1.2	1.55	3.1	6.1	"6;7;8"	0.67	0.52	0.26	0.13	27
1s	0.9	1.3	1.7	3.3	6.6	"6;7;8"	0.69	0.53	0.27	0.14	20
2	1.35	2	3	4.5	7.95	"6;7;8"	0.68	0.45	0.3	0.17	27
3	0.8	1.2	1.55	3.1	6.1	"6;7;8"	0.67	0.52	0.26	0.13	27
4	0.5	0.75	1.1	2.25	6.1	"6;7;8"	0.67	0.45	0.22	0.08	20
5	0.7	1.2	2.1	4.2	7.3	"6;7;8"	0.58	0.33	0.17	0.1	20
6	0.25	0.4	0.75	2.4	4.9	"6;7;8"	0.63	0.33	0.1	0.05	20
7	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	7
8	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	7
9	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	7
10	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	7
11	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	7
12s	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	7
12n	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	6
13	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	6
14	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	6
15	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	6
16	0.21	0.32	0.47	0.87	2.64	"6;7;8"	0.66	0.45	0.24	0.08	5
17	0.18	0.27	0.4	0.74	2.26	"6;7;8"	0.67	0.45	0.24	0.08	5
18	0.21	0.32	0.47	0.87	2.64	"6;7;8"	0.66	0.45	0.24	0.08	5
19	0.18	0.27	0.4	0.74	2.26	"6;7;8"	0.67	0.45	0.24	0.08	5
20	0.16	0.25	0.37	0.67	2.05	"6;7;8"	0.64	0.43	0.24	0.08	5
21	0.15	0.27	0.4	0.74	2.26	"6;7;8"	0.56	0.38	0.2	0.07	5
22	0.16	0.25	0.37	0.67	2.05	"6;7;8"	0.64	0.43	0.24	0.08	3
23	0.15	0.27	0.4	0.74	2.26	"6;7;8"	0.56	0.38	0.2	0.07	3
24	0.18	0.25	0.32	0.74	2.26	"6;7;8"	0.72	0.56	0.24	0.08	6
25	1.4	2.1	2.75	4.8	8.35	"6;7;8"	0.67	0.51	0.29	0.17	20
