% Chl Sommar	EKV Ref	EKV H/G	EKV G/M	EKV M/O	EKV O/D	Månad	EK H/G	EK G/M	EK M/O	EK O/D	Salthalt max
1n	1.15	1.54	2.35	3.7	6.7	6;7;8	0.75	0.49	0.35	0.19	27
1s	1.6	2.1	2.8	4.6	8	6;7;8	0.76	0.57	0.35	0.2	20
2	1.37	1.89	3.6	5.6	8.3	6;7;8	0.73	0.38	0.34	0.23	27
3	0.99	1.39	2.14	3.5	6.2	6;7;8	0.712230215827338	0.46	0.31	0.18	27
25	1.8	2.1	2.7	4.1	6.5	6;7;8	0.86	0.67	0.44	0.28	20
4	1	1.2	1.5	3	6	6;7;8	0.83	0.67	0.33	0.17	20
5	0.99	1.18	1.52	3	6	6;7;8	0.838983050847458	0.651315789473684	0.33	0.17	20
6	0.94	1.18	1.56	2.4	4.9	6;7;8	0.796610169491525	0.602564102564103	0.37	0.18	20
7	1.14	1.44	1.78	3.4	8	6;7;8	0.791666666666667	0.640449438202247	0.35	0.15	7
8	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	7
9	1.14	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	7
10	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	7
11	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	7
12s	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	7
12n	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	6
13	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	6
14	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	6
15	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	6
24	1.2	1.5	1.8	3.4	8	6;7;8	0.8	0.67	0.35	0.15	6
16	1.4	1.8	2.3	4.3	10.1	6;7;8	0.78	0.61	0.33	0.14	5
17	1.2	1.5	2	3.7	8.7	6;7;8	0.8	0.6	0.32	0.14	5
18	1.4	1.8	2.3	4.3	10.1	6;7;8	0.78	0.61	0.33	0.14	5
19	1.2	1.5	2	3.7	8.7	6;7;8	0.8	0.6	0.32	0.14	5
20	1.3	1.8	2.3	4.6	10.8	6;7;8	0.72	0.57	0.28	0.12	5
21	1.1	1.5	2	3.7	8.7	6;7;8	0.73	0.55	0.3	0.13	5
22	1.2	1.8	2.3	4.3	10.1	6;7;8	0.67	0.52	0.28	0.12	3
23	1.1	1.5	2	3.7	8.7	6;7;8	0.73	0.55	0.3	0.13	3
