% Secchi sommar	EKV Ref	EKV H/G	EKV G/M	EKV M/O	EKV O/D	Månad	EK H/G	EK G/M	EK M/O	EK O/D	Salthalt max
1n	10.5	8.5	7	5	3	"6;7;8"	0.81	0.67	0.48	0.29	27
1s	8	6.5	5.5	4	3	"6;7;8"	0.81	0.69	0.5	0.38	20
2	8	6.5	5	3.5	2.5	"6;7;8"	0.81	0.63	0.44	0.31	27
3	12	10	8	5	3.5	"6;7;8"	0.83	0.67	0.42	0.29	27
4	10.5	9.5	8	5	3.5	"6;7;8"	0.9	0.76	0.48	0.33	20
5	10.5	9.5	8	5	3.5	"6;7;8"	0.9	0.76	0.48	0.33	20
6	10	8	7.5	4.5	3	"6;7;8"	0.8	0.75	0.45	0.3	20
7	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	7
8	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	7
9	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	7
10	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	7
11	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	7
12s	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	6
12n	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	6
13	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	6
14	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	6
15	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	6
16	7	5.8	4.9	2.8	1.4	"6;7;8"	0.83	0.7	0.4	0.2	5
17	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	5
18	7	4.7	3.1	2.1	1.4	"6;7;8"	0.67	0.44	0.3	0.2	5
19	9	6	4	2.1	1.7	"6;7;8"	0.67	0.44	0.23	0.19	5
20	6.3	4.2	2.8	1.9	1.2	"6;7;8"	0.67	0.44	0.3	0.19	5
21	8.8	5.9	3.9	2.6	1.7	"6;7;8"	0.67	0.44	0.3	0.19	5
22	5.4	3.6	2.4	1.6	1.1	"6;7;8"	0.67	0.44	0.3	0.2	3
23	7.5	5	3.3	2.2	1.5	"6;7;8"	0.67	0.44	0.29	0.2	3
24	10	8.3	7	4	2	"6;7;8"	0.83	0.7	0.4	0.2	6
25	4.5	4	3	2	0.5	"6;7;8"	0.89	0.67	0.45	0.11	20
