Type Area	EKV Ref	EKV H/G	EKV G/M	EKV M/O	EKV O/D	Månad	EK H/G	EK G/M	EK M/O	EK O/D	Salinity max
1n	-0.963*s+36	-1.088*s+40.68	-1.213*s+45.36	-1.5889*s+59.4	-2.215*s+82.8	"6;7;8"	0.88	0.79	0.6	0.43	27
1s	-0.9*s+30	-1.035*s+34.5	-1.17*s+39	-1.575*s+52.5	-2.25*s+75	"6;7;8"	0.87	0.77	0.57	0.4	20
2	-0.963*s+36	-1.088*s+40.68	-1.213*s+45.36	-1.5889*s+59.4	-2.215*s+82.8	"6;7;8"	0.88	0.79	0.6	0.43	27
3	-0.963*s+36	-1.088*s+40.68	-1.213*s+45.36	-1.5889*s+59.4	-2.215*s+82.8	"6;7;8"	0.88	0.79	0.6	0.43	27
4	-0.9*s+30	-1.035*s+34.5	-1.17*s+39	-1.575*s+52.5	-2.25*s+75	"6;7;8"	0.87	0.77	0.57	0.4	20
5	-0.25*s+17	-0.288*s+19.55	-0.325*s+22.1	-0.4375*s+29.75	-0.625*s+42.5	"6;7;8"	0.87	0.77	0.57	0.4	20
6	-0.25*s+17	-0.288*s+19.55	-0.325*s+22.1	-0.4375*s+29.75	-0.625*s+42.5	"6;7;8"	0.87	0.77	0.57	0.4	20
7	-6.286*s+59	-7.291*s+68.44	-8.109*s+76.11	-11.314*s+106.2	-16.3*s+153.4	"6;7;8"	0.86	0.77	0.55	0.38	7
8	-6.286*s+59	-7.291*s+68.44	-8.109*s+76.11	-11.314*s+106.2	-16.3*s+153.4	"6;7;8"	0.86	0.77	0.55	0.38	7
9	-6.286*s+59	-7.291*s+68.44	-8.109*s+76.11	-11.314*s+106.2	-16.3*s+153.4	"6;7;8"	0.86	0.77	0.55	0.38	7
10	0*s+15	0*s+17.4	0*s+19.35	0*s+27	0*s+39	"6;7;8"	0.88	0.79	0.56	0.38	7
11	0*s+15	0*s+17.4	0*s+19.35	0*s+27	0*s+39	"6;7;8"	0.88	0.79	0.56	0.38	7
12s	-3.167*s+34	-3.721*s+39.95	-4.085*s+43.86	-5.9375*s+63.75	-8.708*s+93.5	"6;7;8"	0.87	0.78	0.56	0.39	6
12n	-1.333*s+23	-1.5468*s+26.6	-1.72*s+29.67	-2.4*s+41.4	-3.467*s+59.8	"6;7;8"	0.87	0.78	0.56	0.38	6
13	-3.167*s+34	-3.721*s+39.95	-4.085*s+43.86	-5.9375*s+63.75	-8.708*s+93.5	"6;7;8"	0.87	0.78	0.56	0.39	6
14	-3.167*s+34	-3.721*s+39.95	-4.085*s+43.86	-5.9375*s+63.75	-8.708*s+93.5	"6;7;8"	0.87	0.78	0.56	0.39	6
15	-1.333*s+23	-1.5468*s+26.6	-1.72*s+29.67	-2.4*s+41.4	-3.467*s+59.8	"6;7;8"	0.87	0.78	0.56	0.38	6
16	-1.4*s+23	-1.624*s+26.68	-1.848*s+30.36	-2.52*s+41.4	-3.64*s+59.8	"6;7;8"	0.86	0.76	0.56	0.39	5
17	-1.4*s+23	-1.624*s+26.68	-1.848*s+30.36	-2.52*s+41.4	-3.64*s+59.8	"6;7;8"	0.86	0.76	0.56	0.39	5
18	-0.8*s+20	-0.928*s+23.2	-1.056*s+26.4	-1.44*s+36	-2.08*s+52	"6;7;8"	0.85	0.75	0.55	0.38	5
19	-0.8*s+20	-0.928*s+23.2	-1.056*s+26.4	-1.44*s+36	-2.08*s+52	"6;7;8"	0.85	0.75	0.55	0.38	5
20	-1*s+21	-1.16*s+24.36	-1.32*s+27.72	-1.8*s+37.8	-2.6*s+54.6	"6;7;8"	0.88	0.78	0.57	0.39	5
21	-1*s+21	-1.16*s+24.36	-1.32*s+27.72	-1.8*s+37.8	-2.6*s+54.6	"6;7;8"	0.88	0.78	0.57	0.39	5
22	-1.333*s+21	-1.547*s+24.36	-1.76*s+27.72	-2.4*s+37.8	-3.467*s+54.6	"6;7;8"	0.86	0.76	0.55	0.39	3
23	-1.333*s+21	-1.547*s+24.36	-1.76*s+27.72	-2.4*s+37.8	-3.467*s+54.6	"6;7;8"	0.86	0.76	0.55	0.39	3
24	-1.333*s+23	-1.5468*s+26.6	-1.72*s+29.67	-2.4*s+41.4	-3.467*s+59.8	"6;7;8"	0.87	0.78	0.56	0.38	6
25	-0.9*s+30	-1.035*s+34.5	-1.17*s+39	-1.575*s+52.5	-2.25*s+75	"6;7;8"	0.87	0.77	0.57	0.4	20
