EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)	WATER_TYPE_AREA	WATER_DISTRICT	ALABO	MYEAR	STIME	STATN	WADEP
SE601000-183510	1985-01-01	0.00	4.000	8.018	0.500	0.619	3.008	0.102	18.405	0.290	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	0.25	4.000	8.018	0.500	0.619	3.008	0.102	18.405	0.290	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	0.75	4.000	8.015	0.500	0.620	3.008	0.102	18.432	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	1.25	4.000	8.014	0.500	0.620	3.008	0.102	18.432	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	1.75	4.000	8.013	0.500	0.620	3.008	0.101	18.432	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	2.25	4.000	8.012	0.500	0.620	3.008	0.101	18.432	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	2.75	4.000	8.012	0.500	0.620	3.008	0.101	18.432	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	3.25	4.000	8.011	0.500	0.620	3.008	0.101	18.432	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	3.75	4.000	8.010	0.500	0.621	3.008	0.101	18.433	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	4.50	4.000	8.010	0.500	0.621	3.008	0.101	18.432	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	5.50	4.000	8.009	0.500	0.621	3.008	0.101	18.433	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	6.50	4.000	8.008	0.500	0.621	3.008	0.101	18.433	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	7.50	4.000	8.007	0.500	0.621	3.008	0.101	18.434	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	8.50	4.000	8.006	0.500	0.621	3.008	0.101	18.435	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	9.50	4.000	8.005	0.500	0.621	3.008	0.101	18.436	0.295	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	35.50	4.000	7.976	0.503	0.623	3.068	0.100	18.488	0.296	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-01	36.00	4.000	7.976	0.503	0.623	3.068	0.100	18.488	0.296	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-02	0.00	4.000	8.100	0.501	0.619	3.034	0.104	18.418	0.281	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
SE601000-183510	1985-01-02	0.25	4.000	8.100	0.501	0.619	3.034	0.104	18.418	0.281	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601000-183510	
