OBJECTID	HID	TYP_NFS06	NAMN	VISS_EU_CD	VISS_MS_CD	WB	District	COMP_AUTH	Country	Version	URL_VISS	DATUM	ObjVer	BASIN_NR	VattenID	UUID	PopNamn	CWVattenID	CWUUID	Shape_Leng	Shape_Area	TYPOMR_KOD	TYPOMRNAMN
1	654575-234250	22	Seskaröfjärden	SE654575-234250	SE654575-234250	Y	SE1	BV	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654575-234250	2006/12/31	2010	1	WA94182650	2AB8D495-6EF5-4840-A6A0-298591CB66CA	"Seskaröfjärden_(65.78,23.71)"	WA70941197	E07C437A-B9A1-4A66-9319-00B6779B67B5	109862.69190200001	72717185.99729999900	22	"22 - Bottenviken, inre kustvatten"
2	732081-888706	22	Bodöfjärden	SE732081-888706	SE732081-888706	P	SE1	BV	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE732081-888706	2016/10/17	2016	1	WA72817410	34E9CE12-DBD8-482E-9913-FF891C73FF9F	"Bodöfjärden_(23.55,65.76)"	WA13364303	3D6BC86A-D9B3-492A-8AE4-0EA397B4A17C	74937.19835970001	46118872.80629999900	22	"22 - Bottenviken, inre kustvatten"
3	654990-224540	22	Siknäsfjärden	SE654990-224540	SE654990-224540	Y	SE1	BV	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654990-224540	2006/12/31	2010	1	WA45924409	C0D70D07-A712-4F48-94E6-EFAE402DE71C	"Siknäsfjärden_(65.82,22.8)"	WA23330224	CD2796FE-5AE4-4CF6-AF17-D65A1D043F42	39649.37983980000	28103726.04500000200	22	"22 - Bottenviken, inre kustvatten"
4	654360-235780	22	Skomakarfjärden	SE654360-235780	SE654360-235780	Y	SE1	BV	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654360-235780	2006/12/31	2010	1	WA47583298	42445131-7959-4382-A037-A93A916BA835	"Skomakarfjärden_(65.75,23.97)"	WA61316927	FD334953-2AEF-4FA8-9B7F-BC692339D0DE	96533.74478090000	96589472.27240000700	22	"22 - Bottenviken, inre kustvatten"
5	654820-222660	22	Rånefjärden	SE654820-222660	SE654820-222660	Y	SE1	BV	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654820-222660	2006/12/31	2010	1	WA70377837	4FF125E4-79EA-4E9F-B804-D5402CA23C1B	"Rånefjärden_(65.82,22.43)"	WA67483548	D20E4049-339A-411F-917E-A677F50DD506	82674.01038670000	51376223.75000000000	22	"22 - Bottenviken, inre kustvatten"
6	654500-232000	22	Repskärsfjärden	SE654500-232000	SE654500-232000	Y	SE1	BV	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654500-232000	2006/12/31	2010	1	WA48373167	1174F8E1-8BDB-484F-9737-D5BB00D13479	"Repskärsfjärden_(65.75,23.35)"	WA99227432	E836C576-3051-41DE-91C0-2CFB6E24A7A2	130964.36933200000	60290141.28599999800	22	"22 - Bottenviken, inre kustvatten"
7	602400-183190	16	Gällfjärden	SE602400-183190	SE602400-183190	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE602400-183190	2006/12/31	2010	3	WA39123148	7945A92B-0B42-45FD-BB4D-7A6B92B462BB	"Gällfjärden_(60.39,18.51)"	WA22860986	3B265D44-BE5B-4F7D-A4FC-0CCD1F218636	65611.62310930000	26035739.83260000100	16	"16 - Södra Bottenhavet, inre kustvatten"
8	602120-181610	16	Kallriga Fjärden	SE602120-181610	SE602120-181610	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE602120-181610	2006/12/31	2010	3	WA13026211	6D17A1FF-2EA3-451F-9E4E-119D1E85A6B7	"Kallriga Fjärden_(60.35,18.26)"	WA53130995	6481799F-24D8-41AA-9BE8-F0022E74F221	27096.18774230000	7024935.06046999990	16	"16 - Södra Bottenhavet, inre kustvatten"
9	601660-183550	16	Ängsfjärden sek namn	SE601660-183550	SE601660-183550	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601660-183550	2006/12/31	2010	4	WA41315807	14473554-D0B3-48C4-BE02-42C7FB5636D6	"Ängsfjärden sek namn_(60.27,18.58)"	WA27501911	441690A4-110A-40D1-9179-8033B9319D43	135992.30134800001	28969104.99760000000	16	"16 - Södra Bottenhavet, inre kustvatten"
10	593820-185500	12	Blidösund	SE593820-185500	SE593820-185500	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593820-185500	2006/12/31	2010	7	WA48885646	4609F303-CF97-428D-BE40-E4D0102F304E	"Blidösund_(59.63,18.89)"	WA13547710	655FD282-9C88-4186-A9E2-EC301ADE5D79	33899.38652230000	5946411.91698999980	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
