internal	label	type	unit
DEPH_count	number of depths	float	
GM_VALUE_LIMIT	GM limit	float	
HG_VALUE_LIMIT	HG limit	float	
MP_VALUE_LIMIT	MP limit	float	
PB_VALUE_LIMIT	PB limit	float	
REFERENCE_VALUE	Reference value	float	
SDATE	Date	string	
STATN	Station	string	
STATUS	Status	string	
VISS_EU_CD	VISS EU_CD	string	
WATER_BODY_NAME	WATERBODY	string	
WATER_TYPE_AREA	TYPE	string	
YEAR	Year	int	
WINTER_YEAR	Winter year	int	
global_EQR	EQR	float	
STATIONS_USED	Included stations	string	
YEAR_count	Number of years	float	
BIOV_CONC_ALL	Biovolume	float	
BQIm	BQI	float	
CPHL_INTEG	Chlorophyll	float	
DIN	DIN	float	umol/l
PHOS	DIP	float	umol/l
NTOT	TN	float	umol/l
PTOT	TP	float	umol/l
SECCHI	Secchi	float	m
WATER_BODY_NAME	Waterbody	string	
VISS_EU_CD	Waterbody ID	string	
WATER_TYPE_AREA	Water type	string	
WATER_DISTRICT	Water district	string	
DEPH	Depth	float	
DOXY	Oxygen concentration	float	
MONTH	Month	int	
WADEP	Station depth	float	
SALT	salinity	float	
DEFICIENCY_TYPE	Oxygen deficiency type	string	
Area below limit %	% Area below 3.5 ml/l	float	
global_EQR	EQR Nutrients	float	
global_EQR_P	EQR Phosphorus	float	
global_EQR_P_winter	EQR P winter	float	
global_EQR_ptot_winter	EQR TP winter	float	
global_EQR_dip_winter	EQR DIP winter	float	
global_EQR_ptot_summer	EQR TP summer	float	
global_EQR_N	EQR Nitrogen	float	
global_EQR_N_winter	EQR N winter	float	
global_EQR_ntot_winter	EQR TN winter	float	
global_EQR_din_winter	EQR DIN winter	float	
global_EQR_ntot_summer	EQR TN summer	float	
STATUS	Status Nutrients	string	
STATUS_P	Status Phosphorus	string	
STATUS_P_winter	Status P winter	string	
STATUS_ptot_winter	Status TP winter	string	
STATUS_dip_winter	Status DIP winter	string	
STATUS_ptot_summer	Status TP summer	string	
STATUS_N	Status Nitrogen	string	
STATUS_N_winter	Status N winter	string	
STATUS_ntot_winter	Status TN winter	string	
STATUS_din_winter	Status DIN winter	string	
STATUS_ntot_summer	Status TN summer	string	
year_count	number of years	int	
p_ges	Percent Good and High	float	
variance	uncertainty 		
indicator_din_winter	DIN winter		
indicator_ntot_summer	TN summer		
indicator_ntot_winter	TN winter		
indicator_dip_winter	DIP winter		
indicator_ptot_summer	TP summer		
indicator_ptot_winter	TP winter		
indicator_p_winter	P winter		
indicator_n_winter	N winter		
indicator_p_summer	P summer		
indicator_n_summer	N summer		
indicator_p	P		
indicator_n	N		
qe_nutrients	Nutrients		
indicator_bqi	BQI		
indicator_msmdi	MSMDI		
indicator_oxygen	Oxygen		
indicator_biov	Biovolume		
indicator_chl	Chlorophyll		
qe_phytoplankton	Phytplankton		
indicator_secchi	Secchi depth		
qe_bottomfauna	Bottom fauna		
qe_secchi	Secchi depth		
qe_oxygen	Oxygen balance		
qe_macroalgae_macrophytes	Macroalgae and macrophytes		
IES	Integrated Ecological Status		
IBS	Integrated Biological Status		
ISS	Integrated Supporting Status		
qe	Quality Element		
indicator 	Parameter		
DEPH_INTERVAL	Depth interval		m
MONTH_LIST	Month interval		
MONTHDAY_INTERVAL	Season		
MIN_NR_YEARS	Minimum number of years		
BOTTOM_WATER	Bottom layer		m
