EUCD	Djup	Sum_Area(km2)	Volym
NO591045-111030	0	4.63	0.0352
NO591045-111030	1	3.6775	0.0311
NO591045-111030	2	3.46	0.0275
NO591045-111030	3	3.2125	0.0242
NO591045-111030	4	2.99	0.021
NO591045-111030	5	2.735	0.0182
NO591045-111030	6	2.505	0.0156
NO591045-111030	7	2.285	0.0132
NO591045-111030	8	2.01	0.011
NO591045-111030	9	1.7675	0.0091
NO591045-111030	10	1.4975	0.0075
NO591045-111030	11	0.84	0.0063
NO591045-111030	12	0.7775	0.0055
NO591045-111030	13	0.7	0.0048
NO591045-111030	14	0.6275	0.0041
NO591045-111030	15	0.56	0.0035
NO591045-111030	16	0.5	0.003
NO591045-111030	17	0.4225	0.0025
NO591045-111030	18	0.3825	0.0021
NO591045-111030	19	0.335	0.0018
NO591045-111030	20	0.2775	0.0015
NO591045-111030	21	0.23	0.0012
NO591045-111030	22	0.2025	0.001
NO591045-111030	23	0.1675	0.0008
NO591045-111030	24	0.1275	0.0007
NO591045-111030	25	0.1175	0.0005
NO591045-111030	26	0.0775	0.0004
NO591045-111030	27	0.0675	0.0004
NO591045-111030	28	0.055	0.0003
NO591045-111030	29	0.04	0.0003
NO591045-111030	30	0.0375	0.0002
NO591045-111030	31	0.0325	0.0002
NO591045-111030	32	0.0275	0.0002
NO591045-111030	33	0.0225	0.0001
NO591045-111030	34	0.0175	0.0001
NO591045-111030	35	0.0125	0.0001
NO591045-111030	36	0.0125	0.0001
NO591045-111030	37	0.0125	0.0001
NO591045-111030	38	0.0125	0.0001
NO591045-111030	39	0.0125	0.0001
NO591045-111030	40	0.01	0
NO591045-111030	41	0.01	0
NO591045-111030	42	0.01	0
NO591045-111030	43	0.0075	0
NO591045-111030	44	0.005	0
NO591045-111030	45	0.0025	0
NO591045-111030	46	0.0025	0
NO591045-111030	47	0.0025	0
NO591045-111030	48	0.0025	0
NO591760-105425	0	313.3425	11.9674
NO591760-105425	1	265.215	11.6782
NO591760-105425	2	259.3275	11.4159
NO591760-105425	3	253.865	11.1593
NO591760-105425	4	248.265	10.9082
NO591760-105425	5	242.825	10.6627
NO591760-105425	6	237.47	10.4225
NO591760-105425	7	230.6075	10.1885
NO591760-105425	8	224.925	9.9607
NO591760-105425	9	218.9475	9.7388
NO591760-105425	10	212.7275	9.5229
NO591760-105425	11	146.3825	9.3434
NO591760-105425	12	142.5925	9.1989
NO591760-105425	13	139.23	9.058
NO591760-105425	14	136.25	8.9203
NO591760-105425	15	133.6575	8.7853
NO591760-105425	16	131.305	8.6528
NO591760-105425	17	128.9925	8.5227
NO591760-105425	18	126.905	8.3947
NO591760-105425	19	124.8225	8.2689
NO591760-105425	20	122.9425	8.145
NO591760-105425	21	121.0825	8.023
NO591760-105425	22	119.33	7.9028
NO591760-105425	23	117.6175	7.7843
NO591760-105425	24	115.9175	7.6675
NO591760-105425	25	114.33	7.5524
NO591760-105425	26	112.675	7.4389
NO591760-105425	27	111.095	7.327
NO591760-105425	28	109.44	7.2167
NO591760-105425	29	107.925	7.1081
NO591760-105425	30	106.4025	7.0009
NO591760-105425	31	104.7975	6.8953
NO591760-105425	32	103.1325	6.7913
NO591760-105425	33	101.6325	6.6889
NO591760-105425	34	100.275	6.588
NO591760-105425	35	98.9475	6.4884
NO591760-105425	36	97.675	6.3901
NO591760-105425	37	96.31	6.2931
NO591760-105425	38	95.07	6.1974
NO591760-105425	39	93.8475	6.1029
NO591760-105425	40	92.6275	6.0097
NO591760-105425	41	91.37	5.9177
NO591760-105425	42	90.1875	5.8269
NO591760-105425	43	88.97	5.7373
NO591760-105425	44	87.7125	5.649
NO591760-105425	45	86.3475	5.562
NO591760-105425	46	85.035	5.4763
NO591760-105425	47	83.735	5.3919
NO591760-105425	48	82.51	5.3088
NO591760-105425	49	81.1625	5.2269
NO591760-105425	50	79.695	5.1465
NO591760-105425	51	78.31	5.0675
NO591760-105425	52	76.9725	4.9899
NO591760-105425	53	75.645	4.9135
NO591760-105425	54	74.3275	4.8386
NO591760-105425	55	73.02	4.7649
NO591760-105425	56	71.71	4.6925
NO591760-105425	57	70.4825	4.6214
NO591760-105425	58	69.4	4.5515
NO591760-105425	59	68.2675	4.4826
NO591760-105425	60	67.2425	4.4149
NO591760-105425	61	66.15	4.3482
NO591760-105425	62	65.0575	4.2826
NO591760-105425	63	64.01	4.2181
NO591760-105425	64	62.995	4.1546
NO591760-105425	65	61.9625	4.0921
NO591760-105425	66	60.9825	4.0306
NO591760-105425	67	59.975	3.9701
NO591760-105425	68	58.94	3.9107
NO591760-105425	69	58.015	3.8522
NO591760-105425	70	56.95	3.7947
NO591760-105425	71	56.025	3.7382
NO591760-105425	72	55.1175	3.6827
NO591760-105425	73	54.2575	3.628
NO591760-105425	74	53.43	3.5741
NO591760-105425	75	52.6175	3.5211
NO591760-105425	76	51.9425	3.4688
NO591760-105425	77	51.22	3.4172
NO591760-105425	78	50.535	3.3664
NO591760-105425	79	49.8075	3.3162
NO591760-105425	80	49.115	3.2667
NO591760-105425	81	48.5175	3.2179
NO591760-105425	82	47.8475	3.1697
NO591760-105425	83	47.215	3.1222
NO591760-105425	84	46.6025	3.0753
NO591760-105425	85	45.9825	3.029
NO591760-105425	86	45.4075	2.9833
NO591760-105425	87	44.8	2.9382
NO591760-105425	88	44.19	2.8937
NO591760-105425	89	43.6525	2.8498
NO591760-105425	90	43.0775	2.8064
NO591760-105425	91	42.52	2.7636
NO591760-105425	92	42.0025	2.7214
NO591760-105425	93	41.42	2.6796
NO591760-105425	94	40.9225	2.6385
NO591760-105425	95	40.43	2.5978
NO591760-105425	96	39.9475	2.5576
NO591760-105425	97	39.4975	2.5179
NO591760-105425	98	39.025	2.4786
NO591760-105425	99	38.61	2.4398
NO591760-105425	100	38.19	2.4014
NO591760-105425	101	31.5675	2.3665
NO591760-105425	102	31.23	2.3351
NO591760-105425	103	30.8775	2.3041
NO591760-105425	104	30.52	2.2734
NO591760-105425	105	30.225	2.243
NO591760-105425	106	29.8575	2.213
NO591760-105425	107	29.535	2.1833
NO591760-105425	108	29.24	2.1539
NO591760-105425	109	28.965	2.1248
NO591760-105425	110	28.6275	2.096
NO591760-105425	111	28.2925	2.0675
NO591760-105425	112	28.04	2.0394
NO591760-105425	113	27.7425	2.0115
NO591760-105425	114	27.4425	1.9839
NO591760-105425	115	27.1425	1.9566
NO591760-105425	116	26.8125	1.9296
NO591760-105425	117	26.54	1.9029
NO591760-105425	118	26.255	1.8765
NO591760-105425	119	25.985	1.8504
NO591760-105425	120	25.695	1.8246
NO591760-105425	121	25.4275	1.799
NO591760-105425	122	25.1525	1.7737
NO591760-105425	123	24.865	1.7487
NO591760-105425	124	24.5575	1.724
NO591760-105425	125	24.31	1.6996
NO591760-105425	126	24.03	1.6754
NO591760-105425	127	23.8075	1.6515
NO591760-105425	128	23.5425	1.6278
NO591760-105425	129	23.285	1.6044
NO591760-105425	130	23.06	1.5812
NO591760-105425	131	22.79	1.5583
NO591760-105425	132	22.5	1.5356
NO591760-105425	133	22.2425	1.5133
NO591760-105425	134	21.9925	1.4912
NO591760-105425	135	21.73	1.4693
NO591760-105425	136	21.4875	1.4477
NO591760-105425	137	21.25	1.4263
NO591760-105425	138	21.0225	1.4052
NO591760-105425	139	20.79	1.3843
NO591760-105425	140	20.5725	1.3636
NO591760-105425	141	20.3025	1.3432
NO591760-105425	142	20.1	1.3229
NO591760-105425	143	19.8775	1.303
NO591760-105425	144	19.625	1.2832
NO591760-105425	145	19.4125	1.2637
NO591760-105425	146	19.1875	1.2444
NO591760-105425	147	18.9675	1.2253
NO591760-105425	148	18.7825	1.2064
NO591760-105425	149	18.575	1.1878
NO591760-105425	150	18.3275	1.1693
NO591760-105425	151	18.15	1.1511
NO591760-105425	152	17.965	1.133
NO591760-105425	153	17.74	1.1152
NO591760-105425	154	17.575	1.0975
NO591760-105425	155	17.375	1.08
