internal	sharkweb
VISS_EU_CD	svar_sea_area_option
WATER_TYPE_AREA	type_area_option
WATER_DISTRICT	water_district_option
1n	01n - Västkustens inre kustvatten
1s	01s - Västkustens inre kustvatten
2	02 - Västkustens fjordar
3	03 - Västkustens yttre kustvatten. Skagerrak
4	04 - Västkustens yttre kustvatten. Kattegatt
5	05 - Södra Hallands och norra Öresunds kustvatten
6	06 - Öresunds kustvatten
7	07 - Skånes kustvatten
8	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten
9	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten
10	10 - Ölands och Gotlands kustvatten
11	11 - Gotlands nordvästra kustvatten
12n	12n - Östergötlands och Stockholms skärgård. Mellankustvatten
12s	12s - Östergötlands och Stockholms skärgård. Mellankustvatten
13	13 - Östergötlands inre kustvatten
14	14 - Östergötlands yttre kustvatten
15	15 - Stockholms skärgård. Yttre kustvatten
16	16 - Södra Bottenhavet. Inre kustvatten
17	17 - Södra Bottenhavet. Yttre kustvatten
18	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten
19	19 - Norra Bottenhavet. Höga kusten. Yttre kustvatten
20	20 - Norra Kvarkens inre kustvatten
21	21 - Norra Kvarkens yttre kustvatten
22	22 - Norra Bottenviken. Inre kustvatten
23	23 - Norra Bottenviken. Yttre kustvatten
24	24 - Stockholms inre skärgård och Hallsfjärden
25	25 - Göta älvs- och Nordre älvs estuarie
