WATERBODY_NAME	TYPE_AREA_CODE	TYPE_AREA_NAME	TYPE_AREA_NO	TYPE_AREA_SUFFIX	COUNTRY	URL_VISS	EU_CD	MS_CD	VISS_EU_CD	VISS_MS_CD	WATER_DISTRICT_CODE	WATER_DISTRICT_NAME
Balgöarkipelagen	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570900-121060	SE19D16CCE-760C-4A16-AF1C-105908B8D133	WA80555093	SE570900-121060	SE570900-121060	SE5	Västerhavets vattendistrikt
Klosterfjorden	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571240-121000	SE8F73DEDC-7746-4981-B416-138E4353CD37	WA85895430	SE571240-121000	SE571240-121000	SE5	Västerhavets vattendistrikt
Vändelsöarkipelagen	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571720-120640	SE16A044F8-3910-4A50-B53A-F73732C1D3D0	WA34827948	SE571720-120640	SE571720-120640	SE5	Västerhavets vattendistrikt
Varren	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572072-115880	SE15DAF483-4DF0-4C96-998F-4F905C6F3CAC	WA95954732	SE572072-115880	SE572072-115880	SE5	Västerhavets vattendistrikt
Yttre Kungsbackafjorden	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572135-120141	SEF5DE007F-EBDD-4C12-8849-21CA3D3E12DF	WA36405364	SE572135-120141	SE572135-120141	SE5	Västerhavets vattendistrikt
Kyrkefjälls sund	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572227-115662	SE7D67B6CD-BADA-47BD-807F-16AAAA53EF1D	WA66758074	SE572227-115662	SE572227-115662	SE5	Västerhavets vattendistrikt
Öckerösund	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572308-115550	SE4259C3FF-286C-4D0A-A08B-CA1F3149CF2C	WA94871481	SE572308-115550	SE572308-115550	SE5	Västerhavets vattendistrikt
Inre Kungsbackafjorden	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572472-120302	SE1CB1305B-FB7B-4D00-A554-40C46617AF59	WA21723833	SE572472-120302	SE572472-120302	SE5	Västerhavets vattendistrikt
Låddholmsviken	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572838-115515	SE81B8AC0B-AB1A-4622-AA9B-494087B5F20E	WA32316676	SE572838-115515	SE572838-115515	SE5	Västerhavets vattendistrikt
Stallviken	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572980-115576	SE6898640D-E4F7-4578-A110-06447CCA91D7	WA33043313	SE572980-115576	SE572980-115576	SE5	Västerhavets vattendistrikt
Risö-Säröarkipelagen	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573044-115355	SE6DFA09A0-0AFF-4801-9D7B-D6CB68F1B15B	WA88358571	SE573044-115355	SE573044-115355	SE5	Västerhavets vattendistrikt
Skörvallaviken	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573100-115580	SE06028A79-292F-45BD-AC25-9C96D38861F5	WA31793085	SE573100-115580	SE573100-115580	SE5	Västerhavets vattendistrikt
Maleviken	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573173-115587	SE640B6B6D-5696-4A08-961A-9D0A005BAA91	WA78397530	SE573173-115587	SE573173-115587	SE5	Västerhavets vattendistrikt
Kräklingeområdet	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573322-115478	SEBF02BDF6-044A-4EB4-B561-A23F9BCD911E	WA78651254	SE573322-115478	SE573322-115478	SE5	Västerhavets vattendistrikt
Askims fjord	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573500-115150	SE9DE94695-08ED-4BC4-B774-5330F6D27EB0	WA97301629	SE573500-115150	SE573500-115150	SE5	Västerhavets vattendistrikt
Styrsö- Vrångöområdet	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573547-114617	SE00A404B4-5B5D-4BFF-8BC2-D926E9C13B42	WA73141672	SE573547-114617	SE573547-114617	SE5	Västerhavets vattendistrikt
Halsviken	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573657-114572	SEA12F45C1-FBDB-491E-9672-ECBFC28EC492	WA92640538	SE573657-114572	SE573657-114572	SE5	Västerhavets vattendistrikt
Brännö- Styrsöområdet	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573797-114618	SEEBB9EEBE-76B5-4AC1-9D01-2BA0CC84A54E	WA38072012	SE573797-114618	SE573797-114618	SE5	Västerhavets vattendistrikt
Asperöfjorden sek namn	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573860-115000	SEBEC84670-195F-4456-961A-B634B214D12D	WA13941202	SE573860-115000	SE573860-115000	SE5	Västerhavets vattendistrikt
Dana fjord	1s	1s - Västkustens inre kustvatten, södra	1	s	SE	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574000-114230	SEDBE68096-D811-4039-AC8A-A910A166551A	WA51265873	SE574000-114230	SE574000-114230	SE5	Västerhavets vattendistrikt
