OBJECTID *	Shape *	EU_CD	MS_CD	VISS_EU_CD	VISS_MS_CD	NAMN	TYP_NFS06	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	DATUM	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	Shape_Area	TYPOMR_KOD	TYPOMRNAMN
4	Polygon	SE65E5B59B-D89F-4775-8AC7-D36AD908B1EE	WA33184982	SE0101010301-C	SE590670-111380	Singlefjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590670-111380	2016-10-26	2016	Singlefjorden_(11.14,59.05)	Y	NO0101010301-C	0101010301-C	47717.47829	17438059.64	1n	1n - Västkustens inre kustvatten, norra
80	Polygon	SE19D16CCE-760C-4A16-AF1C-105908B8D133	WA80555093	SE570900-121060	SE570900-121060	Balgöarkipelagen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570900-121060	2006-12-31	2010	Balgöarkipelagen_(57.15,12.16)	N	 	 	49499.97615	26418718.15	1s	1s - Västkustens inre kustvatten, södra
83	Polygon	SE8F73DEDC-7746-4981-B416-138E4353CD37	WA85895430	SE571240-121000	SE571240-121000	Klosterfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571240-121000	2006-12-31	2010	Klosterfjorden_(57.21,12.2)	N	 	 	19262.91922	8789632.95	1s	1s - Västkustens inre kustvatten, södra
86	Polygon	SE16A044F8-3910-4A50-B53A-F73732C1D3D0	WA34827948	SE571720-120640	SE571720-120640	Vändelsöarkipelagen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571720-120640	2006-12-31	2010	Vändelsöarkipelagen_(57.28,12.1)	N	 	 	49283.29668	32727530.74	1s	1s - Västkustens inre kustvatten, södra
90	Polygon	SE15DAF483-4DF0-4C96-998F-4F905C6F3CAC	WA95954732	SE572072-115880	SE572072-115880	Varren	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572072-115880	2006-12-31	2010	Varren_(57.35,11.98)	N	 	 	18627.73628	4863325.46	1s	1s - Västkustens inre kustvatten, södra
92	Polygon	SEF5DE007F-EBDD-4C12-8849-21CA3D3E12DF	WA36405364	SE572135-120141	SE572135-120141	Yttre Kungsbackafjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572135-120141	2006-12-31	2010	Yttre Kungsbackafjorden_(57.37,12.03)	N	 	 	55943.5618	30238087.02	1s	1s - Västkustens inre kustvatten, södra
94	Polygon	SE7D67B6CD-BADA-47BD-807F-16AAAA53EF1D	WA66758074	SE572227-115662	SE572227-115662	Kyrkefjälls sund	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572227-115662	2006-12-31	2010	Kyrkefjälls sund_(57.37,11.95)	N	 	 	5322.318164	790449.918	1s	1s - Västkustens inre kustvatten, södra
95	Polygon	SE4259C3FF-286C-4D0A-A08B-CA1F3149CF2C	WA94871481	SE572308-115550	SE572308-115550	Öckerösund	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572308-115550	2006-12-31	2010	Öckerösund_(57.39,11.93)	N	 	 	18604.26017	3822016.104	1s	1s - Västkustens inre kustvatten, södra
97	Polygon	SE1CB1305B-FB7B-4D00-A554-40C46617AF59	WA21723833	SE572472-120302	SE572472-120302	Inre Kungsbackafjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572472-120302	2006-12-31	2010	Inre Kungsbackafjorden_(57.42,12.09)	N	 	 	27834.39494	18486535.53	1s	1s - Västkustens inre kustvatten, södra
103	Polygon	SE81B8AC0B-AB1A-4622-AA9B-494087B5F20E	WA32316676	SE572838-115515	SE572838-115515	Låddholmsviken	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572838-115515	2006-12-31	2010	Låddholmsviken_(57.47,11.93)	N	 	 	6430.688873	916893.9546	1s	1s - Västkustens inre kustvatten, södra
