TYPE_AREA_NUMBER	TYPE_AREA_SUFFIX	EU_CD	BASIN_NUMBER	HID	NAME	CENTER_LAT	CENTER_LON	URL_VISS
23		SE652400-223501	110001.0	652400-223501	Norrbottens skärgårds kustvatten	"65° 16' 37,678"""	"22° 10' 46,413"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652400-223501
23		SE648760-213140	110002.0	649640-214530	N m Bottenvikens kustvatten	"64° 42' 35,349"""	"21° 24' 5,383"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE648760-213140
23		SE641250-211751	110004.0	641250-211751	S Bottenvikens kustvatten	"64° 14' 31,567"""	"21° 16' 29,647"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE641250-211751
21		SE635300-205251	110005.0	635300-205251	N n Kvarkens kustvatten	"63° 36' 35,329"""	"20° 50' 2,994"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE635300-205251
21		SE633550-200700	110006.0	633550-200700	S n Kvarkens kustvatten	"63° 32' 0,489"""	"20° 16' 20,319"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE633550-200700
22		SE654560-246250	110007.0	654560-246250	Haparandafjärden sek namn	"65° 45' 31,216"""	"24° 5' 48,374"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654560-246250
22		SE654360-235780	110008.0	654360-235780	Skomakarfjärden	"65° 44' 48,580"""	"23° 58' 22,358"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654360-235780
23		SE654130-249500	110009.0	654130-249500	Katajafjärden	"65° 41' 32,920"""	"24° 8' 48,852"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654130-249500
23		SE654150-240380	110010.0	654150-240380	Hamnskärsfjärden	"65° 40' 46,382"""	"24° 2' 47,955"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654150-240380
23		SE653840-247900	110011.0	653840-247900	Knivskärsfjärden	"65° 38' 31,633"""	"24° 8' 13,779"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653840-247900
23		SE653870-235570	110012.0	653870-235570	Enskärsfjärden	"65° 40' 5,348"""	"23° 54' 14,108"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653870-235570
22		SE654575-234250	110013.0	654575-234250	Seskaröfjärden	"65° 46' 51,467"""	"23° 42' 25,271"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654575-234250
23		SE654100-234100	110014.0	654100-234100	S. Seskaröfjärden sek namn	"65° 39' 14,747"""	"23° 42' 38,335"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654100-234100
22		SE654500-232000	110016.0	654500-232000	Repskärsfjärden	"65° 45' 13,671"""	"23° 20' 45,667"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654500-232000
22		SE655260-224280	110017.0	655260-224280	Törefjärden	"65° 52' 33,905"""	"22° 41' 43,967"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE655260-224280
22		SE654990-224540	110018.0	654990-224540	Siknäsfjärden	"65° 49' 6,423"""	"22° 48' 5,721"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654990-224540
22		SE654570-225230	110019.0	654570-225230	Rånöfjärden	"65° 45' 17,841"""	"22° 53' 0,728"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654570-225230
22		SE654110-224850	110021.0	654110-224850	Båtöfjärden	"65° 41' 35,516"""	"22° 49' 33,153"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654110-224850
22		SE654291-224000	110022.0	654291-224000	Bergöfjärden	"65° 43' 56,369"""	"22° 38' 4,990"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654291-224000
22		SE654820-222660	110023.0	654820-222660	Rånefjärden	"65° 49' 11,924"""	"22° 25' 55,754"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654820-222660
