	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	OBJECTID *	Shape *	EU_CD	MS_CD	VISS_MS_CD	NAMN	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	TYPOMR_KOD	TYPOMRNAMN	TYPE_AREA_NAME	TYPE_AREA_SUFFIX	WATER_DISTRICT_NAME
0	S. Seskaröfjärden sek namn	1	2	2006-12-31		23	654100-234100	SE1	SE654100-234100	SE1	SE	23	23	108577.454	201966955.7	618.0	Polygon	SEA6409D7E-616D-414F-81BA-363DE6631B38	WA45735183	SE654100-234100	S. Seskaröfjärden sek namn	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654100-234100	2010	S. Seskaröfjärden sek namn_(65.65,23.71)	N	 	 	108577.454	23	23 - Bottenviken, yttre kustvatten	Bottenviken, yttre kustvatten		Bottenvikens vattendistrikt
1	Båtöfjärden	1	2	2006-12-31		22	654110-224850	SE1	SE654110-224850	SE1	SE	22	22	60805.19025	45790846.49	619.0	Polygon	SE96AEB7A4-B97E-4B7A-8AC0-2CA9E50C9983	WA41727841	SE654110-224850	Båtöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654110-224850	2010	Båtöfjärden_(65.69,22.83)	N	 	 	60805.19025	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
2	Tistersöfjärden	1	2	2006-12-31		22	654200-222920	SE1	SE654200-222920	SE1	SE	22	22	22594.66892	25598650.02	622.0	Polygon	SE4EE82414-74EE-403E-AAAD-07CF21E102F2	WA21787226	SE654200-222920	Tistersöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654200-222920	2010	Tistersöfjärden_(65.7,22.49)	N	 	 	22594.66892	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
3	Fjuksöfjärden	1	2	2006-12-31		22	653900-223280	SE1	SE653900-223280	SE1	SE	22	22	44114.24039	46121769.89	616.0	Polygon	SE486B4298-E3E4-490C-A3F4-B9BF6EE06FAE	WA86369350	SE653900-223280	Fjuksöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653900-223280	2010	Fjuksöfjärden_(65.64,22.54)	N	 	 	44114.24039	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
4	Hamnöfjärden	1	2	2006-12-31		22	653740-222800	SE1	SE653740-222800	SE1	SE	22	22	24283.61669	16472741.64	613.0	Polygon	SE82119F2A-5027-4A07-9836-36BA0669D79A	WA56319995	SE653740-222800	Hamnöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653740-222800	2010	Hamnöfjärden_(65.62,22.47)	N	 	 	24283.61669	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
5	Degeröfjärden	1	2	2006-12-31		22	653140-224000	SE1	SE653140-224000	SE1	SE	22	22	43091.0017	26730886.3	610.0	Polygon	SEBBB1E744-FD94-480A-9D6C-B8CB0EA44569	WA71632844	SE653140-224000	Degeröfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653140-224000	2010	Degeröfjärden_(65.52,22.66)	N	 	 	43091.0017	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
6	Eknösundet	3	2	2006-12-31		12	591905-185275	SE3	SE591905-185275	SE3	SE	12n	12	15493.83605	4526127.041999999	355.0	Polygon	SE2C273790-85DB-4B50-83BC-9A4AE0C47C85	WA91169418	SE591905-185275	Eknösundet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591905-185275	2010	Eknösundet_(59.31,18.84)	N	 	 	15493.83605	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
7	Saxskärsfjärden	1	2	2006-12-31		22	653116-224623	SE1	SE653116-224623	SE1	SE	22	22	28308.592669999998	23604007.8	609.0	Polygon	SEF5C2065A-4E92-4444-BEE7-48152F81A239	WA90387007	SE653116-224623	Saxskärsfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653116-224623	2010	Saxskärsfjärden_(65.52,22.75)	N	 	 	28308.592669999998	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
8	Bastaskärsfjärden	1	2	2006-12-31		22	652855-224000	SE1	SE652855-224000	SE1	SE	22	22	38344.554860000004	27217293.25	607.0	Polygon	SE8A3CD363-E787-468F-8EAF-BA8ECF2F1506	WA72712912	SE652855-224000	Bastaskärsfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652855-224000	2010	Bastaskärsfjärden_(65.49,22.63)	N	 	 	38344.554860000004	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
9	Västantillfjärden	1	2	2006-12-31		22	652830-222116	SE1	SE652830-222116	SE1	SE	22	22	38715.76917	24005936.03	606.0	Polygon	SE2E5427F8-AC25-483C-8973-C16AB0A5F58D	WA33608717	SE652830-222116	Västantillfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652830-222116	2010	Västantillfjärden_(65.46,22.35)	N	 	 	38715.76917	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
