EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE592500-191750	1985-01-01	0.00	4.000	8.005	0.500	0.619	3.005	0.102	18.401	0.290	6.8
SE592500-191750	1985-01-01	0.25	4.000	8.005	0.500	0.619	3.005	0.102	18.401	0.290	6.8
SE592500-191750	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.004	0.102	18.429	0.294	6.8
SE592500-191750	1985-01-01	1.25	4.000	8.004	0.500	0.620	3.005	0.102	18.429	0.295	6.8
SE592500-191750	1985-01-01	1.75	4.000	8.003	0.500	0.620	3.004	0.102	18.429	0.295	6.8
SE592500-191750	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.004	0.102	18.429	0.295	6.8
SE592500-191750	1985-01-01	2.75	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592500-191750	1985-01-01	3.25	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592500-191750	1985-01-01	3.75	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592500-191750	1985-01-01	4.50	4.000	8.003	0.500	0.620	3.004	0.101	18.429	0.295	6.8
SE592500-191750	1985-01-01	5.50	4.000	8.002	0.500	0.620	3.003	0.101	18.430	0.295	6.8
SE592500-191750	1985-01-01	6.50	4.000	8.002	0.500	0.620	3.003	0.101	18.430	0.295	6.8
SE592500-191750	1985-01-01	7.50	4.000	8.002	0.500	0.620	3.003	0.101	18.430	0.295	6.8
SE592500-191750	1985-01-01	8.50	4.000	8.001	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE592500-191750	1985-01-01	9.50	4.000	8.001	0.500	0.621	3.003	0.101	18.432	0.295	6.8
SE592500-191750	1985-01-01	126.75	4.000	7.994	0.501	0.622	3.019	0.100	18.450	0.297	6.8
SE592500-191750	1985-01-01	129.00	4.000	7.994	0.501	0.622	3.019	0.100	18.450	0.297	6.8
SE592500-191750	1985-01-02	0.00	4.000	8.052	0.500	0.618	3.012	0.103	18.402	0.282	6.8
SE592500-191750	1985-01-02	0.25	4.000	8.052	0.500	0.618	3.012	0.103	18.402	0.282	6.8
SE592500-191750	1985-01-02	0.75	4.000	8.049	0.500	0.620	3.012	0.103	18.430	0.286	6.8
SE592500-191750	1985-01-02	1.25	4.000	8.048	0.500	0.620	3.012	0.103	18.430	0.286	6.8
SE592500-191750	1985-01-02	1.75	4.000	8.047	0.500	0.620	3.012	0.102	18.430	0.286	6.8
SE592500-191750	1985-01-02	2.25	4.000	8.046	0.500	0.620	3.012	0.102	18.429	0.286	6.8
SE592500-191750	1985-01-02	2.75	4.000	8.045	0.500	0.620	3.012	0.102	18.429	0.286	6.8
SE592500-191750	1985-01-02	3.25	4.000	8.045	0.500	0.620	3.011	0.102	18.429	0.286	6.8
SE592500-191750	1985-01-02	3.75	4.000	8.044	0.500	0.620	3.012	0.102	18.429	0.286	6.8
SE592500-191750	1985-01-02	4.50	4.000	8.044	0.500	0.620	3.011	0.102	18.429	0.286	6.8
SE592500-191750	1985-01-02	5.50	4.000	8.043	0.500	0.620	3.011	0.102	18.430	0.286	6.8
SE592500-191750	1985-01-02	6.50	4.000	8.042	0.500	0.620	3.011	0.102	18.430	0.286	6.8
SE592500-191750	1985-01-02	7.50	4.000	8.041	0.500	0.620	3.011	0.102	18.430	0.287	6.8
SE592500-191750	1985-01-02	8.50	4.000	8.040	0.500	0.620	3.011	0.102	18.430	0.287	6.8
SE592500-191750	1985-01-02	9.50	4.000	8.040	0.500	0.620	3.011	0.102	18.430	0.287	6.8
SE592500-191750	1985-01-02	126.75	4.000	7.975	0.503	0.623	3.073	0.100	18.489	0.285	6.8
SE592500-191750	1985-01-02	129.00	4.000	7.975	0.503	0.623	3.073	0.100	18.489	0.285	6.8
SE592500-191750	1985-01-03	0.00	4.000	8.157	0.501	0.618	3.025	0.103	18.409	0.269	6.9
SE592500-191750	1985-01-03	0.25	4.000	8.157	0.501	0.618	3.025	0.103	18.409	0.269	6.9
SE592500-191750	1985-01-03	0.75	4.000	8.151	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	1.25	4.000	8.148	0.501	0.620	3.026	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	1.75	4.000	8.146	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	2.25	4.000	8.144	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	2.75	4.000	8.142	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	3.25	4.000	8.141	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	3.75	4.000	8.140	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	4.50	4.000	8.139	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	5.50	4.000	8.137	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	6.50	4.000	8.135	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	7.50	4.000	8.134	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	8.50	4.000	8.133	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	9.50	4.000	8.132	0.501	0.620	3.025	0.103	18.436	0.274	6.9
SE592500-191750	1985-01-03	126.75	4.710	8.383	0.444	0.543	3.646	0.106	17.689	0.666	6.9
SE592500-191750	1985-01-03	129.00	4.710	8.383	0.444	0.543	3.646	0.106	17.689	0.666	6.9
SE592500-191750	1985-01-04	0.00	4.015	8.365	0.500	0.617	3.052	0.104	18.400	0.265	6.9
SE592500-191750	1985-01-04	0.25	4.015	8.365	0.500	0.617	3.052	0.104	18.400	0.265	6.9
SE592500-191750	1985-01-04	0.75	4.015	8.359	0.500	0.618	3.052	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	1.25	4.015	8.355	0.500	0.618	3.053	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	1.75	4.015	8.353	0.500	0.618	3.053	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	2.25	4.015	8.351	0.500	0.618	3.053	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	2.75	4.015	8.350	0.500	0.618	3.052	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	3.25	4.015	8.349	0.500	0.618	3.052	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	3.75	4.015	8.347	0.500	0.618	3.052	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	4.50	4.015	8.346	0.500	0.618	3.052	0.104	18.427	0.270	6.9
SE592500-191750	1985-01-04	5.50	4.015	8.344	0.500	0.618	3.052	0.103	18.427	0.270	6.9
SE592500-191750	1985-01-04	6.50	4.015	8.343	0.500	0.618	3.052	0.103	18.427	0.270	6.9
SE592500-191750	1985-01-04	7.50	4.015	8.341	0.500	0.618	3.052	0.103	18.427	0.270	6.9
SE592500-191750	1985-01-04	8.50	4.015	8.340	0.500	0.618	3.053	0.103	18.427	0.270	6.9
SE592500-191750	1985-01-04	9.50	4.015	8.339	0.500	0.618	3.053	0.103	18.426	0.270	6.9
SE592500-191750	1985-01-04	126.75	5.075	8.491	0.425	0.514	3.937	0.111	17.379	0.803	6.9
SE592500-191750	1985-01-04	129.00	5.075	8.491	0.425	0.514	3.937	0.111	17.379	0.803	6.9
SE592500-191750	1985-01-05	0.00	4.045	8.579	0.497	0.612	3.092	0.105	18.365	0.270	6.9
SE592500-191750	1985-01-05	0.25	4.045	8.579	0.497	0.612	3.092	0.105	18.365	0.270	6.9
SE592500-191750	1985-01-05	0.75	4.045	8.574	0.497	0.614	3.092	0.105	18.392	0.275	6.9
SE592500-191750	1985-01-05	1.25	4.045	8.571	0.497	0.614	3.092	0.105	18.392	0.275	6.9
SE592500-191750	1985-01-05	1.75	4.046	8.569	0.497	0.614	3.092	0.105	18.392	0.275	6.9
SE592500-191750	1985-01-05	2.25	4.046	8.568	0.497	0.614	3.092	0.105	18.392	0.275	6.9
SE592500-191750	1985-01-05	2.75	4.046	8.567	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	3.25	4.046	8.565	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	3.75	4.046	8.564	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	4.50	4.046	8.563	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	5.50	4.046	8.561	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	6.50	4.046	8.560	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	7.50	4.046	8.559	0.497	0.614	3.092	0.105	18.391	0.275	6.9
SE592500-191750	1985-01-05	8.50	4.046	8.557	0.497	0.614	3.092	0.105	18.391	0.275	6.9
