EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
NO591045-111030	1985-01-01	0.00	20.000	8.058	0.501	0.620	3.013	0.101	18.409	0.290	6.8
NO591045-111030	1985-01-01	0.25	20.000	8.058	0.501	0.620	3.013	0.101	18.409	0.290	6.8
NO591045-111030	1985-01-01	0.75	20.000	8.055	0.501	0.621	3.012	0.101	18.436	0.295	6.8
NO591045-111030	1985-01-01	1.25	20.000	8.054	0.501	0.621	3.010	0.101	18.434	0.295	6.8
NO591045-111030	1985-01-01	1.75	20.000	8.052	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	2.25	20.000	8.052	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	2.75	20.000	8.051	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	3.25	20.000	8.050	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	3.75	20.000	8.050	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	4.50	20.000	8.049	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	5.50	20.000	8.048	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	6.50	20.000	8.048	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	7.50	20.000	8.047	0.501	0.621	3.011	0.101	18.435	0.295	6.8
NO591045-111030	1985-01-01	8.50	20.000	8.047	0.501	0.621	3.011	0.101	18.436	0.295	6.8
NO591045-111030	1985-01-01	9.50	20.000	8.045	0.501	0.621	3.013	0.101	18.438	0.295	6.8
NO591045-111030	1985-01-01	47.50	20.000	7.982	0.505	0.625	3.052	0.100	18.469	0.296	6.8
NO591045-111030	1985-01-01	48.00	20.000	7.982	0.505	0.625	3.052	0.100	18.469	0.296	6.8
NO591045-111030	1985-01-02	0.00	20.000	8.133	0.503	0.621	3.041	0.102	18.420	0.285	6.9
NO591045-111030	1985-01-02	0.25	20.000	8.133	0.503	0.621	3.041	0.102	18.420	0.285	6.9
NO591045-111030	1985-01-02	0.75	20.000	8.132	0.503	0.622	3.040	0.102	18.443	0.290	6.9
NO591045-111030	1985-01-02	1.25	20.000	8.131	0.503	0.622	3.039	0.102	18.441	0.290	6.9
NO591045-111030	1985-01-02	1.75	20.000	8.131	0.503	0.622	3.039	0.102	18.441	0.290	6.9
NO591045-111030	1985-01-02	2.25	20.000	8.131	0.503	0.622	3.039	0.102	18.442	0.290	6.9
NO591045-111030	1985-01-02	2.75	20.000	8.130	0.503	0.622	3.039	0.102	18.442	0.290	6.9
NO591045-111030	1985-01-02	3.25	20.000	8.130	0.503	0.622	3.039	0.102	18.442	0.290	6.9
NO591045-111030	1985-01-02	3.75	20.000	8.130	0.503	0.622	3.040	0.101	18.442	0.290	6.9
NO591045-111030	1985-01-02	4.50	20.000	8.129	0.503	0.622	3.039	0.101	18.442	0.290	6.9
NO591045-111030	1985-01-02	5.50	20.000	8.129	0.503	0.622	3.039	0.101	18.442	0.290	6.9
NO591045-111030	1985-01-02	6.50	20.000	8.129	0.503	0.622	3.039	0.101	18.442	0.290	6.9
NO591045-111030	1985-01-02	7.50	20.000	8.129	0.503	0.622	3.040	0.101	18.443	0.290	6.9
NO591045-111030	1985-01-02	8.50	20.000	8.128	0.503	0.622	3.040	0.101	18.443	0.290	6.9
NO591045-111030	1985-01-02	9.50	20.000	8.127	0.504	0.622	3.042	0.101	18.445	0.290	6.9
NO591045-111030	1985-01-02	47.50	20.000	8.121	0.504	0.623	3.052	0.101	18.452	0.290	6.9
NO591045-111030	1985-01-02	48.00	20.000	8.121	0.504	0.623	3.052	0.101	18.452	0.290	6.9
NO591045-111030	1985-01-03	0.00	19.984	8.200	0.509	0.624	3.372	0.119	18.674	0.280	6.9
NO591045-111030	1985-01-03	0.25	19.984	8.200	0.509	0.624	3.372	0.119	18.674	0.280	6.9
NO591045-111030	1985-01-03	0.75	19.985	8.198	0.509	0.625	3.372	0.119	18.693	0.284	6.9
NO591045-111030	1985-01-03	1.25	19.987	8.197	0.508	0.625	3.368	0.119	18.687	0.284	6.9
NO591045-111030	1985-01-03	1.75	19.990	8.195	0.508	0.625	3.365	0.119	18.682	0.284	6.9
NO591045-111030	1985-01-03	2.25	19.994	8.193	0.508	0.625	3.361	0.118	18.675	0.284	6.9
NO591045-111030	1985-01-03	2.75	20.004	8.190	0.508	0.625	3.357	0.118	18.662	0.284	6.9
NO591045-111030	1985-01-03	3.25	20.033	8.181	0.508	0.624	3.350	0.117	18.630	0.284	6.9
NO591045-111030	1985-01-03	3.75	20.293	8.121	0.508	0.623	3.333	0.113	18.388	0.280	6.9
NO591045-111030	1985-01-03	4.50	20.821	8.023	0.507	0.620	3.367	0.111	17.958	0.270	6.9
NO591045-111030	1985-01-03	5.50	21.812	7.869	0.508	0.615	3.546	0.113	17.239	0.249	6.9
NO591045-111030	1985-01-03	6.50	23.063	7.694	0.509	0.608	3.815	0.118	16.367	0.225	6.9
NO591045-111030	1985-01-03	7.50	24.380	7.524	0.510	0.601	4.117	0.124	15.460	0.201	6.9
NO591045-111030	1985-01-03	8.50	25.560	7.381	0.511	0.594	4.400	0.131	14.651	0.181	6.9
NO591045-111030	1985-01-03	9.50	26.533	7.272	0.512	0.589	4.644	0.136	13.987	0.166	6.9
NO591045-111030	1985-01-03	47.50	30.784	6.844	0.520	0.565	5.861	0.172	11.070	0.142	6.9
NO591045-111030	1985-01-03	48.00	30.784	6.844	0.520	0.565	5.861	0.172	11.070	0.142	6.9
NO591045-111030	1985-01-04	0.00	22.618	8.072	0.514	0.612	4.103	0.136	16.935	0.247	8.0
NO591045-111030	1985-01-04	0.25	22.618	8.072	0.514	0.612	4.103	0.136	16.935	0.247	8.0
NO591045-111030	1985-01-04	0.75	22.619	8.069	0.514	0.613	4.102	0.136	16.953	0.251	8.0
