EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE0101010301-C	1985-01-01	0.00	20.000	8.037	0.500	0.619	3.004	0.100	18.404	0.290	6.8
SE0101010301-C	1985-01-01	0.25	20.000	8.037	0.500	0.619	3.004	0.100	18.404	0.290	6.8
SE0101010301-C	1985-01-01	0.75	20.000	8.034	0.500	0.621	3.004	0.100	18.432	0.295	6.8
SE0101010301-C	1985-01-01	1.25	20.000	8.033	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	1.75	20.000	8.031	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	2.25	20.000	8.031	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	2.75	20.000	8.030	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	3.25	20.000	8.029	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	3.75	20.000	8.029	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	4.50	20.000	8.028	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	5.50	20.000	8.027	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	6.50	20.000	8.027	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	7.50	20.000	8.026	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	8.50	20.000	8.025	0.500	0.621	3.003	0.100	18.431	0.295	6.8
SE0101010301-C	1985-01-01	9.50	20.000	8.025	0.500	0.621	3.003	0.100	18.432	0.295	6.8
SE0101010301-C	1985-01-01	141.75	20.000	7.994	0.502	0.622	3.019	0.100	18.450	0.297	6.8
SE0101010301-C	1985-01-01	144.00	20.000	7.994	0.502	0.622	3.019	0.100	18.450	0.297	6.8
SE0101010301-C	1985-01-02	0.00	20.000	8.034	0.501	0.619	3.011	0.100	18.405	0.282	6.8
SE0101010301-C	1985-01-02	0.25	20.000	8.034	0.501	0.619	3.011	0.100	18.405	0.282	6.8
SE0101010301-C	1985-01-02	0.75	20.000	8.033	0.501	0.621	3.010	0.100	18.434	0.287	6.8
SE0101010301-C	1985-01-02	1.25	20.000	8.033	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	1.75	20.000	8.032	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	2.25	20.000	8.032	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	2.75	20.000	8.031	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	3.25	20.000	8.031	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	3.75	20.000	8.031	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	4.50	20.000	8.030	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	5.50	20.000	8.030	0.501	0.621	3.009	0.100	18.433	0.287	6.8
SE0101010301-C	1985-01-02	6.50	20.000	8.030	0.501	0.621	3.009	0.100	18.433	0.287	6.8
