EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SENO591150-113700	1985-01-01	0.00	20.000	8.043	0.500	0.619	3.006	0.101	18.404	0.290	6.8
SENO591150-113700	1985-01-01	0.25	20.000	8.043	0.500	0.619	3.006	0.101	18.404	0.290	6.8
SENO591150-113700	1985-01-01	0.75	20.000	8.040	0.500	0.621	3.006	0.101	18.433	0.295	6.8
SENO591150-113700	1985-01-01	1.25	20.000	8.038	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	1.75	20.000	8.037	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	2.25	20.000	8.037	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	2.75	20.000	8.036	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	3.25	20.000	8.035	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	3.75	20.000	8.035	0.501	0.621	3.007	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	4.50	20.000	8.034	0.501	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	5.50	20.000	8.033	0.501	0.621	3.007	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	6.50	20.000	8.033	0.501	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	7.50	20.000	8.032	0.501	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	8.50	20.000	8.031	0.501	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	9.50	20.000	8.031	0.501	0.621	3.006	0.100	18.433	0.295	6.8
SENO591150-113700	1985-01-01	25.50	20.000	7.976	0.506	0.626	3.069	0.100	18.489	0.296	6.8
SENO591150-113700	1985-01-01	26.00	20.000	7.976	0.506	0.626	3.069	0.100	18.489	0.296	6.8
SENO591150-113700	1985-01-02	0.00	20.000	8.089	0.502	0.620	3.025	0.101	18.411	0.285	6.9
SENO591150-113700	1985-01-02	0.25	20.000	8.089	0.502	0.620	3.025	0.101	18.411	0.285	6.9
SENO591150-113700	1985-01-02	0.75	20.000	8.088	0.502	0.622	3.025	0.101	18.437	0.290	6.9
SENO591150-113700	1985-01-02	1.25	20.000	8.087	0.502	0.622	3.025	0.101	18.437	0.290	6.9
SENO591150-113700	1985-01-02	1.75	20.000	8.087	0.502	0.622	3.025	0.101	18.437	0.290	6.9
SENO591150-113700	1985-01-02	2.25	20.000	8.087	0.502	0.622	3.025	0.101	18.437	0.290	6.9
SENO591150-113700	1985-01-02	2.75	20.000	8.086	0.502	0.622	3.025	0.101	18.437	0.290	6.9
SENO591150-113700	1985-01-02	3.25	20.000	8.086	0.502	0.622	3.025	0.101	18.437	0.290	6.9
SENO591150-113700	1985-01-02	3.75	20.000	8.086	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	4.50	20.000	8.085	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	5.50	20.000	8.085	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	6.50	20.000	8.085	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	7.50	20.000	8.085	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	8.50	20.000	8.084	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	9.50	20.000	8.084	0.502	0.622	3.025	0.101	18.438	0.290	6.9
SENO591150-113700	1985-01-02	25.50	20.000	8.078	0.503	0.623	3.039	0.100	18.448	0.290	6.9
SENO591150-113700	1985-01-02	26.00	20.000	8.078	0.503	0.623	3.039	0.100	18.448	0.290	6.9
SENO591150-113700	1985-01-03	0.00	14.464	8.673	0.442	0.592	4.517	0.199	20.831	0.203	5.1
SENO591150-113700	1985-01-03	0.25	14.464	8.673	0.442	0.592	4.517	0.199	20.831	0.203	5.1
SENO591150-113700	1985-01-03	0.75	14.373	8.677	0.441	0.610	4.541	0.200	21.169	0.205	5.1
SENO591150-113700	1985-01-03	1.25	15.518	8.560	0.454	0.618	4.244	0.180	20.716	0.222	5.1
SENO591150-113700	1985-01-03	1.75	16.439	8.471	0.463	0.622	4.008	0.164	20.311	0.236	5.1
SENO591150-113700	1985-01-03	2.25	18.611	8.272	0.486	0.633	3.469	0.129	19.441	0.268	5.1
SENO591150-113700	1985-01-03	2.75	19.360	8.190	0.495	0.631	3.258	0.114	18.999	0.280	5.1
SENO591150-113700	1985-01-03	3.25	19.614	8.153	0.498	0.629	3.175	0.109	18.807	0.284	5.1
SENO591150-113700	1985-01-03	3.75	19.739	8.133	0.500	0.627	3.134	0.106	18.694	0.285	5.1
