MYEAR	SDATE	STIME	SHIPC	SHARKID_MD5	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	MNDEP	MXDEP	BQIm	Q_BQIm
2016	2016-06-23		77SK	5522dbaeb6ee773d099ca7e3b51e88f8	ALSBÄCK	58.32167	11.54500	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	118	118	11.231	
2016	2016-06-23			5c3af7282e6e17ff2ba39361743e1e11	HO 1	63.60897	20.73668	633550-200700	S n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	40.5	40.5	2.90689	
2016	2016-06-23			bb23f795400cb822c260c3d5147e969f	HO 17	63.79008	21.00150	635300-205251	N n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	22.9	22.9	7.82202	
2016	2016-06-23			2d4f1ddbba05b6fc435a46a4a9b07d68	HO 2	63.64143	20.75387	633550-200700	S n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	31.8	31.8	3.88071	
2016	2016-06-23			d5473ff4d71f39500d3025cbb90397d3	HO 28	63.56737	20.72160	633550-200700	S n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	42.8	42.8	3.73107	
2016	2016-06-23			f6b41a7e91385826833754a1a2345e28	HO 4	63.69048	20.78810	633550-200700	S n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	38.5	38.5	4.2126	
2016	2016-06-23			7476c740f26a2529fd50ff979f9bca71	HO 8	63.82022	20.91740	635300-205251	N n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	26.1	26.1	5.17849	
2016	2016-06-23			0cb8691783debf6aeb8de520636b5483	HO 9	63.84898	20.97828	635300-205251	N n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	44.7	44.7	8.26385	
2016	2016-06-23		77VS	f5e74269cae068cb4e601854fb81dcef	SALTFJ	58.41667	11.65000	582500-113890	Saltkällefjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	44	44	10.5499	
2016	2016-06-23		77VS	64cdb70696c3811c4f90ae2bff192bc8	SALTFJ	58.41667	11.65000	582500-113890	Saltkällefjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	44	44	9.612	
