MYEAR	SDATE	STIME	SHIPC	SHARKID_MD5	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	MNDEP	MXDEP	BIOV_CONC_ALL	Q_BIOV_CONC_ALL
2016	2016-12-11		34AR	c1f2b68e7fbbb35015a153a45936ba65	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.17880908768	
2016	2016-12-06		77NE	1f325c6d6bcc14b054bee69084535534	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.1503460099	
2016	2016-12-06		77SN	2f3a3056a776c298e95311c23487e396	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.05497067539	
2016	2016-12-06		77SN	ea9e8de337f254f026e3c0d794ca6feb	ÅSTOL	57.91970	11.59330	575340-113000	Marstrandsfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.401386992	
2016	2016-12-05		77SN	02b0207b1b9a4758bd0ab0b8105f55f8	DANAFJORD	57.66750	11.68670	574000-114230	Dana fjord	N Kattegatt	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	0.2701368543	
2016	2016-12-05		77SN	0bc4d32cf2793d21705006e988bb62c2	HAVSTENSFJORD	58.31250	11.77330	581740-114820	Havstensfjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.1194386486	
2016	2016-12-05		77SN	6b93fb606a35132f0b59d489c859fdb3	KOLJÖFJORD	58.23000	11.58000	581260-113220	Koljö fjord	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.1473876536	
2016	2016-11-18		34AR	847e6015be7daa81830c1e0fb849f819	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.5578898229	
2016	2016-11-02		77NE	41dbabf3af900816ed3001bccf772f46	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.5154407074	
2016	2016-11-02		77SN	ad1a88ca7753dc08236d836dffdb0850	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.7556166765	
