MYEAR	STATN	SHIPC	SHARKID_MD5	SDATE	STIME	LATIT_DD	LONGI_DD	MNDEP	MXDEP	PARAM	VALUE	QFLAG	WLTYP	WATER_DISTRICT	SEA_AREA_NAME	SEA_AREA_CODE	WATER_TYPE_AREA	SEA_BASIN
2016	ALSBÄCK	77SK	5522dbaeb6ee773d099ca7e3b51e88f8	2016-06-23		58.32167	11.54500	118	118	BQIm	11.231		2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak
2016	HO 1		5c3af7282e6e17ff2ba39361743e1e11	2016-06-23		63.60897	20.73668	40.5	40.5	BQIm	2.90689		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	S n Kvarkens kustvatten	633550-200700	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	HO 17		bb23f795400cb822c260c3d5147e969f	2016-06-23		63.79008	21.00150	22.9	22.9	BQIm	7.82202		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	N n Kvarkens kustvatten	635300-205251	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	HO 2		2d4f1ddbba05b6fc435a46a4a9b07d68	2016-06-23		63.64143	20.75387	31.8	31.8	BQIm	3.88071		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	S n Kvarkens kustvatten	633550-200700	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	HO 28		d5473ff4d71f39500d3025cbb90397d3	2016-06-23		63.56737	20.72160	42.8	42.8	BQIm	3.73107		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	S n Kvarkens kustvatten	633550-200700	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	HO 4		f6b41a7e91385826833754a1a2345e28	2016-06-23		63.69048	20.78810	38.5	38.5	BQIm	4.2126		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	S n Kvarkens kustvatten	633550-200700	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	HO 8		7476c740f26a2529fd50ff979f9bca71	2016-06-23		63.82022	20.91740	26.1	26.1	BQIm	5.17849		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	N n Kvarkens kustvatten	635300-205251	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	HO 9		0cb8691783debf6aeb8de520636b5483	2016-06-23		63.84898	20.97828	44.7	44.7	BQIm	8.26385		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	N n Kvarkens kustvatten	635300-205251	21 - Norra Kvarkens yttre kustvatten	N Kvarken
2016	SALTFJ	77VS	f5e74269cae068cb4e601854fb81dcef	2016-06-23		58.41667	11.65000	44	44	BQIm	10.5499		2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Saltkällefjorden	582500-113890	02 - Västkustens fjordar	Skagerrak
2016	SALTFJ	77VS	64cdb70696c3811c4f90ae2bff192bc8	2016-06-23		58.41667	11.65000	44	44	BQIm	9.612		2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Saltkällefjorden	582500-113890	02 - Västkustens fjordar	Skagerrak
