	AMON	BQIm	CPHL	DEPH	DOXY_BTL	DOXY_CTD	LATIT_DD	LONGI_DD	MNDEP	MXDEP	MYEAR	NTRA	NTRI	NTRZ	PHOS	Q_AMON	Q_BQIm	Q_CPHL	Q_DOXY_BTL	Q_DOXY_CTD	Q_NTRA	Q_NTRI	Q_NTRZ	Q_PHOS	Q_SALT_BTL	Q_SALT_CTD	Q_SECCHI	Q_TEMP_BTL	Q_TEMP_CTD	SALT_BTL	SALT_CTD	SDATE	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	SECCHI	SERNO	SHARKID_MD5	SHIPC	STATN	STIME	TEMP_BTL	TEMP_CTD	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP
0	0.61		1.50	0.5	7.2		57.55000	11.80833			2015	6.85	0.26	7.11	0.58																27.67	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		4.7	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
1	0.71		1.50	2.0	7.3		57.55000	11.80833			2015	6.85	0.26	7.11	0.58																27.67	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		4.7	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
2	0.59		1.60	5.0	7.6		57.55000	11.80833			2015	6.85	0.27	7.12	0.58																27.67	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		4.7	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
3	0.64		1.60	10.0	7.1		57.55000	11.80833			2015	6.07	0.23	6.30	0.52																27.68	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		4.7	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
4	0.79		1.50	15.0	7.1		57.55000	11.80833			2015	6.85	0.29	7.14	0.58																27.77	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		4.7	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
5	0.69		1.50	20.0	7.2		57.55000	11.80833			2015	7.85	0.29	8.14	0.61																28.12	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		5.0	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
6	1.28			22.0	7.5		57.55000	11.80833			2015	7.85	0.28	8.13	0.61																28.14	2015-01-07	572540-114801	Onsala kustvatten	N Kattegatt	5.8	1.0		7719	VALÖ	05:30		5.0	Västerhavets vattendistrikt	04 - Västkustens yttre kustvatten. Kattegatt	2 - Havsområde innanför 1 NM
7	0.93		1.20	0.5			57.66750	11.68667			2015	8.57	0.32	8.89	0.58																27.86	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		4.8	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
8	0.93		1.10	2.0	6.90		57.66750	11.68667			2015	8.57	0.32	8.89	0.61																27.86	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		4.8	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
9	0.93		1.20	5.0	6.90		57.66750	11.68667			2015	8.57	0.32	8.89	0.58																27.86	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		4.8	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
10	1.00		1.10	10.0	7.50		57.66750	11.68667			2015	8.57	0.31	8.88	0.58																27.88	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		4.8	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
11	1.07		1.20	15.0	7.20		57.66750	11.68667			2015	7.85	0.34	8.19	0.58																27.94	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		4.9	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
12	1.00		1.40	20.0	6.50		57.66750	11.68667			2015	7.85	0.42	8.27	0.68																28.62	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		5.1	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
13	1.00		1.20	30.0	6.90		57.66750	11.68667			2015	7.85	0.50	8.35	0.74																29.88	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		5.5	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
14	1.00			39.0	6.30		57.66750	11.68667			2015	6.00	0.71	6.71	0.87																33.35	2015-01-07	574000-114230	Dana fjord	N Kattegatt	3.8	2.0		7719	DANAFJORD	07:20		7.5	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM
15	1.14		0.87	0.5	7.1		57.91967	11.59333			2015	8.57	0.43	9.00	0.58																26.53	2015-01-07	575340-113000	Marstrandsfjorden	Skagerrak	3.8	3.0		7719	ÅSTOL	08:35		4.8	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM
16	1.21		0.84	2.0	7.1		57.91967	11.59333			2015	8.57	0.42	8.99	0.58																27.26	2015-01-07	575340-113000	Marstrandsfjorden	Skagerrak	3.8	3.0		7719	ÅSTOL	08:35		4.8	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM
