BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.5031594664	0	58.80_17.63	0.18		2013-06-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.47358716771228376	0	0.357739468339654	0_SE584340-174401
0.46201121938	0	58.80_17.63	0.18		2013-06-17	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.4935005802477489	1	0.3896009283963982	1_SE584340-174401
0.4721392259	0	58.80_17.63	0.18		2013-07-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.48827717297911555	2	0.3812434767665848	2_SE584340-174401
1.0643966106	0	58.80_17.63	0.18		2013-07-16	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.3113873698575267	3	0.16910989588602132	3_SE584340-174401
0.908549225	0	58.80_17.63	0.18		2013-07-30	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.3476475614185902	4	0.19811804913487213	4_SE584340-174401
0.1511232464	0	58.80_17.63	0.18		2013-08-13	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	1.0	5	1.0	5_SE584340-174401
0.51245410293	0	58.80_17.63	0.18		2013-08-27	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.4695318553540145	6	0.3512509685664231	6_SE584340-174401
0.44893115139	0	58.80_17.63	0.18		2014-06-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5005952185578404	7	0.4009523496925447	7_SE584340-174401
0.69997574082	0	58.80_17.63	0.18		2014-06-16	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.41071985561701	8	0.257151768987216	8_SE584340-174401
1.55899045456	0	58.80_17.63	0.18		2014-07-03	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.24432416782404398	9	0.11545933425923516	9_SE584340-174401
0.6533789337	0	58.80_17.63	0.18		2014-07-17	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.4221818598633524	10	0.2754909757813638	10_SE584340-174401
0.244360141	0	58.80_17.63	0.18		2014-07-31	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.8118697709962679	11	0.736617679394775	11_SE584340-174401
0.222818767	0	58.80_17.63	0.18		2014-08-12	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.8627367255316131	12	0.8078314157442582	12_SE584340-174401
0.2222490889	0	58.80_17.63	0.18		2014-08-26	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.8642157734269248	13	0.8099020827976946	13_SE584340-174401
0.129101755684	0	58.80_17.63	0.18		2015-06-04	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	1.0	14	1.0	14_SE584340-174401
0.2986740714	0	58.80_17.63	0.18		2015-06-16	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.6533295372622693	15	0.6026636298098155	15_SE584340-174401
0.35982430729	0	58.80_17.63	0.18		2015-07-01	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5626525855000973	16	0.5002441368001557	16_SE584340-174401
0.63353185388	0	58.80_17.63	0.18		2015-07-14	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.42757591715555493	17	0.28412146744888783	17_SE584340-174401
0.25818884005	0	58.80_17.63	0.18		2015-07-30	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.7714551719447954	18	0.6971641375558363	18_SE584340-174401
0.47568146403	0	58.80_17.63	0.18		2015-08-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.4865028038866465	19	0.37840448621863443	19_SE584340-174401
0.83818347276	0	58.80_17.63	0.18		2015-08-26	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.36843764797594025	20	0.2147501183807522	20_SE584340-174401
1.5858204301	0	58.80_17.63	0.18		2016-06-09	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.24188239458222377	21	0.113505915665779	21_SE584340-174401
1.2188396965	0	58.80_17.63	0.18		2016-06-21	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.284601798453157	22	0.14768143876252557	22_SE584340-174401
0.41744161668	0	58.80_17.63	0.18		2016-07-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5194987646290178	23	0.4311980234064285	23_SE584340-174401
0.35388371908	0	58.80_17.63	0.18		2016-07-19	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5679010334029182	24	0.5086416534446692	24_SE584340-174401
0.40410006824	0	58.80_17.63	0.18		2016-08-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.528396389513067	25	0.4454342232209072	25_SE584340-174401
0.22074565853	0	58.80_17.63	0.18		2016-08-16	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.8681557680411299	26	0.8154180752575818	26_SE584340-174401
0.4647202277	0	58.80_17.63	0.18		2016-08-31	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.49208113461466185	27	0.38732981538345895	27_SE584340-174401
1.28269680458	0	58.26_11.43	1.35		2013-06-04	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	0	1.0	0_SE581700-113000
0.2776655254	0	58.26_11.43	1.35		2013-06-26	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	1	1.0	1_SE581700-113000
0.4549383825	0	58.26_11.43	1.35		2013-07-01	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	2	1.0	2_SE581700-113000
0.210089803	0	58.26_11.43	1.35		2013-07-30	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	3	1.0	3_SE581700-113000
0.0378123672	0	58.26_11.43	1.35		2013-08-06	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	4	1.0	4_SE581700-113000
0.181349543	0	58.26_11.43	1.35		2013-08-12	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	5	1.0	5_SE581700-113000
