20th percentile	STATN	STATUS	VISS_EU_CD	WATER_BODY_NAME	WATER_TYPE_AREA	global_EQR	gm_value	hg_value	mp_value	new_index	pb_value	ref_value	index_column
4.168903333333334	6001	GOOD	SE584340-174401	Krabbfjärden	14	0.6050418905472636	4.0	10.7	2.7	0_SE584340-174401	1.8	14.0	0
5.28366	6009 ÖSTERBÅDARNA	GOOD	SE584340-174401	Krabbfjärden	14	0.6383182089552238	4.0	10.7	2.7	1_SE584340-174401	1.8	14.0	1
4.37163	6014 OXELTANDEN	GOOD	SE584340-174401	Krabbfjärden	14	0.6110934328358208	4.0	10.7	2.7	2_SE584340-174401	1.8	14.0	2
7.65219	B1	GOOD	SE584340-174401	Krabbfjärden	14	0.7090205970149254	4.0	10.7	2.7	3_SE584340-174401	1.8	14.0	3
4.0755	6018	GOOD	SE584340-174401	Krabbfjärden	14	0.6022537313432835	4.0	10.7	2.7	4_SE584340-174401	1.8	14.0	4
8.939873333333333	6004	GOOD	SE584340-174401	Krabbfjärden	14	0.7474589054726368	4.0	10.7	2.7	5_SE584340-174401	1.8	14.0	5
4.621636666666667	6010 FURHOLMARNA	GOOD	SE584340-174401	Krabbfjärden	14	0.6185563184079602	4.0	10.7	2.7	6_SE584340-174401	1.8	14.0	6
6.4476	6011	GOOD	SE584340-174401	Krabbfjärden	14	0.6730626865671642	4.0	10.7	2.7	7_SE584340-174401	1.8	14.0	7
10.2622	6019	GOOD	SE584340-174401	Krabbfjärden	14	0.786931343283582	4.0	10.7	2.7	8_SE584340-174401	1.8	14.0	8
8.50605	6020	GOOD	SE584340-174401	Krabbfjärden	14	0.7345089552238806	4.0	10.7	2.7	9_SE584340-174401	1.8	14.0	9
8.32173	6023 SPELMAN	GOOD	SE584340-174401	Krabbfjärden	14	0.7290068656716417	4.0	10.7	2.7	10_SE584340-174401	1.8	14.0	10
8.031419999999999	6006	GOOD	SE584340-174401	Krabbfjärden	14	0.720340895522388	4.0	10.7	2.7	11_SE584340-174401	1.8	14.0	11
4.7606	6016	GOOD	SE584340-174401	Krabbfjärden	14	0.6227044776119403	4.0	10.7	2.7	12_SE584340-174401	1.8	14.0	12
5.72816	6017 S SUNDSBÅDARNA	GOOD	SE584340-174401	Krabbfjärden	14	0.6515868656716418	4.0	10.7	2.7	13_SE584340-174401	1.8	14.0	13
