STATUS	VISS_EU_CD	WATER_BODY_NAME	WATER_TYPE_AREA	YEAR	global_EQR	gm_value	hg_value	mp_value	new_index	pb_value	position	position_mean	ref_value	index_column
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6050418905472636	4.0	10.7	2.7	0_SE584340-174401	1.8	6001	4.168903333333334	14.0	0
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.7427089552238806	4.0	10.7	2.7	1_SE584340-174401	1.8	6001	8.78075	14.0	1
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.6469853731343284	4.0	10.7	2.7	2_SE584340-174401	1.8	6001	5.57401	14.0	2
GOOD	SE584340-174401	Krabbfjärden	14	2013.0	0.6485830845771144	4.0	10.7	2.7	3_SE584340-174401	1.8	6001	5.627533333333333	14.0	3
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6383182089552238	4.0	10.7	2.7	4_SE584340-174401	1.8	6009 ÖSTERBÅDARNA	5.28366	14.0	4
	SE584340-174401	Krabbfjärden	14	2015.0					5_SE584340-174401		6009 ÖSTERBÅDARNA			5
	SE584340-174401	Krabbfjärden	14	2014.0					6_SE584340-174401		6009 ÖSTERBÅDARNA			6
	SE584340-174401	Krabbfjärden	14	2013.0					7_SE584340-174401		6009 ÖSTERBÅDARNA			7
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6110934328358208	4.0	10.7	2.7	8_SE584340-174401	1.8	6014 OXELTANDEN	4.37163	14.0	8
	SE584340-174401	Krabbfjärden	14	2015.0					9_SE584340-174401		6014 OXELTANDEN			9
	SE584340-174401	Krabbfjärden	14	2014.0					10_SE584340-174401		6014 OXELTANDEN			10
	SE584340-174401	Krabbfjärden	14	2013.0					11_SE584340-174401		6014 OXELTANDEN			11
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.7090205970149254	4.0	10.7	2.7	12_SE584340-174401	1.8	B1	7.65219	14.0	12
	SE584340-174401	Krabbfjärden	14	2015.0					13_SE584340-174401		B1			13
	SE584340-174401	Krabbfjärden	14	2014.0					14_SE584340-174401		B1			14
	SE584340-174401	Krabbfjärden	14	2013.0					15_SE584340-174401		B1			15
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6022537313432835	4.0	10.7	2.7	16_SE584340-174401	1.8	6018	4.0755	14.0	16
	SE584340-174401	Krabbfjärden	14	2015.0					17_SE584340-174401		6018			17
	SE584340-174401	Krabbfjärden	14	2014.0					18_SE584340-174401		6018			18
	SE584340-174401	Krabbfjärden	14	2013.0					19_SE584340-174401		6018			19
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.7474589054726368	4.0	10.7	2.7	20_SE584340-174401	1.8	6004	8.939873333333333	14.0	20
HIGH	SE584340-174401	Krabbfjärden	14	2015.0	0.862638383838384	4.0	10.7	2.7	21_SE584340-174401	1.8	6004	11.733533333333334	14.0	21
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.7990149253731343	4.0	10.7	2.7	22_SE584340-174401	1.8	6004	10.667	14.0	22
HIGH	SE584340-174401	Krabbfjärden	14	2013.0	0.8391959595959596	4.0	10.7	2.7	23_SE584340-174401	1.8	6004	11.346733333333333	14.0	23
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6185563184079602	4.0	10.7	2.7	24_SE584340-174401	1.8	6010 FURHOLMARNA	4.621636666666667	14.0	24
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.7017340298507463	4.0	10.7	2.7	25_SE584340-174401	1.8	6010 FURHOLMARNA	7.4080900000000005	14.0	25
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.6973526368159204	4.0	10.7	2.7	26_SE584340-174401	1.8	6010 FURHOLMARNA	7.261313333333334	14.0	26
GOOD	SE584340-174401	Krabbfjärden	14	2013.0	0.6667836815920397	4.0	10.7	2.7	27_SE584340-174401	1.8	6010 FURHOLMARNA	6.237253333333332	14.0	27
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6730626865671642	4.0	10.7	2.7	28_SE584340-174401	1.8	6011	6.4476	14.0	28
	SE584340-174401	Krabbfjärden	14	2015.0					29_SE584340-174401		6011			29
	SE584340-174401	Krabbfjärden	14	2014.0					30_SE584340-174401		6011			30
	SE584340-174401	Krabbfjärden	14	2013.0					31_SE584340-174401		6011			31
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.786931343283582	4.0	10.7	2.7	32_SE584340-174401	1.8	6019	10.2622	14.0	32
	SE584340-174401	Krabbfjärden	14	2015.0					33_SE584340-174401		6019			33
	SE584340-174401	Krabbfjärden	14	2014.0					34_SE584340-174401		6019			34
GOOD	SE584340-174401	Krabbfjärden	14	2013.0	0.7694301492537313	4.0	10.7	2.7	35_SE584340-174401	1.8	6019	9.67591	14.0	35
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.7345089552238806	4.0	10.7	2.7	36_SE584340-174401	1.8	6020	8.50605	14.0	36
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.7776307462686567	4.0	10.7	2.7	37_SE584340-174401	1.8	6020	9.95063	14.0	37
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.7630337313432836	4.0	10.7	2.7	38_SE584340-174401	1.8	6020	9.46163	14.0	38
GOOD	SE584340-174401	Krabbfjärden	14	2013.0	0.7194098507462686	4.0	10.7	2.7	39_SE584340-174401	1.8	6020	8.00023	14.0	39
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.7290068656716417	4.0	10.7	2.7	40_SE584340-174401	1.8	6023 SPELMAN	8.32173	14.0	40
	SE584340-174401	Krabbfjärden	14	2015.0					41_SE584340-174401		6023 SPELMAN			41
	SE584340-174401	Krabbfjärden	14	2014.0					42_SE584340-174401		6023 SPELMAN			42
	SE584340-174401	Krabbfjärden	14	2013.0					43_SE584340-174401		6023 SPELMAN			43
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.7688062686567164	4.0	10.7	2.7	44_SE584340-174401	1.8	6006	9.655009999999999	14.0	44
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.7906812935323383	4.0	10.7	2.7	45_SE584340-174401	1.8	6006	10.387823333333333	14.0	45
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.720340895522388	4.0	10.7	2.7	46_SE584340-174401	1.8	6006	8.031419999999999	14.0	46
HIGH	SE584340-174401	Krabbfjärden	14	2013.0	0.8480343434343435	4.0	10.7	2.7	47_SE584340-174401	1.8	6006	11.492566666666667	14.0	47
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6227044776119403	4.0	10.7	2.7	48_SE584340-174401	1.8	6016	4.7606	14.0	48
	SE584340-174401	Krabbfjärden	14	2015.0					49_SE584340-174401		6016			49
	SE584340-174401	Krabbfjärden	14	2014.0					50_SE584340-174401		6016			50
	SE584340-174401	Krabbfjärden	14	2013.0					51_SE584340-174401		6016			51
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6515868656716418	4.0	10.7	2.7	52_SE584340-174401	1.8	6017 S SUNDSBÅDARNA	5.72816	14.0	52
	SE584340-174401	Krabbfjärden	14	2015.0					53_SE584340-174401		6017 S SUNDSBÅDARNA			53
	SE584340-174401	Krabbfjärden	14	2014.0					54_SE584340-174401		6017 S SUNDSBÅDARNA			54
	SE584340-174401	Krabbfjärden	14	2013.0					55_SE584340-174401		6017 S SUNDSBÅDARNA			55
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6240970149253731	4.0	10.7	2.7	56_SE584340-174401	1.8	6021 Ö GALTEN	4.80725	14.0	56
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.7207480597014926	4.0	10.7	2.7	57_SE584340-174401	1.8	6021 Ö GALTEN	8.04506	14.0	57
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.60302	4.0	10.7	2.7	58_SE584340-174401	1.8	6021 Ö GALTEN	4.10117	14.0	58
GOOD	SE584340-174401	Krabbfjärden	14	2013.0	0.7516331343283582	4.0	10.7	2.7	59_SE584340-174401	1.8	6021 Ö GALTEN	9.07971	14.0	59
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6901937313432835	4.0	10.7	2.7	60_SE584340-174401	1.8	6022 LILLBERGET	7.02149	14.0	60
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.7905373134328358	4.0	10.7	2.7	61_SE584340-174401	1.8	6022 LILLBERGET	10.383	14.0	61
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.6384743283582089	4.0	10.7	2.7	62_SE584340-174401	1.8	6022 LILLBERGET	5.28889	14.0	62
HIGH	SE584340-174401	Krabbfjärden	14	2013.0	0.8124424242424244	4.0	10.7	2.7	63_SE584340-174401	1.8	6022 LILLBERGET	10.9053	14.0	63
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.7193208955223881	4.0	10.7	2.7	64_SE584340-174401	1.8	6024B	7.99725	14.0	64
	SE584340-174401	Krabbfjärden	14	2015.0					65_SE584340-174401		6024B			65
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.7766053731343283	4.0	10.7	2.7	66_SE584340-174401	1.8	6024B	9.91628	14.0	66
	SE584340-174401	Krabbfjärden	14	2013.0					67_SE584340-174401		6024B			67
GOOD	SE584340-174401	Krabbfjärden	14	2016.0	0.6229271641791044	4.0	10.7	2.7	68_SE584340-174401	1.8	6025 SKVALLRAN	4.76806	14.0	68
GOOD	SE584340-174401	Krabbfjärden	14	2015.0	0.754708656716418	4.0	10.7	2.7	69_SE584340-174401	1.8	6025 SKVALLRAN	9.18274	14.0	69
GOOD	SE584340-174401	Krabbfjärden	14	2014.0	0.6638340298507462	4.0	10.7	2.7	70_SE584340-174401	1.8	6025 SKVALLRAN	6.13844	14.0	70
GOOD	SE584340-174401	Krabbfjärden	14	2013.0	0.7020116417910448	4.0	10.7	2.7	71_SE584340-174401	1.8	6025 SKVALLRAN	7.41739	14.0	71
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2016.0	0.56155	12.0	15.7	8.0	0_SE581700-113000	4.0	ALSBÄCK	11.231	17.6	0
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2015.0	0.59822	12.0	15.7	8.0	1_SE581700-113000	4.0	ALSBÄCK	11.9644	17.6	1
GOOD	SE581700-113000	Gullmarn centralbassäng	2	2014.0	0.6568162162162162	12.0	15.7	8.0	2_SE581700-113000	4.0	ALSBÄCK	13.0511	17.6	2
GOOD	SE581700-113000	Gullmarn centralbassäng	2	2013.0	0.616472072072072	12.0	15.7	8.0	3_SE581700-113000	4.0	ALSBÄCK	12.304733333333333	17.6	3
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2016.0	0.59387	12.0	15.7	8.0	4_SE581700-113000	4.0	LYSE 4	11.8774	17.6	4
GOOD	SE581700-113000	Gullmarn centralbassäng	2	2015.0	0.6006594594594594	12.0	15.7	8.0	5_SE581700-113000	4.0	LYSE 4	12.0122	17.6	5
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2014.0	0.525652	12.0	15.7	8.0	6_SE581700-113000	4.0	LYSE 4	10.513039999999998	17.6	6
GOOD	SE581700-113000	Gullmarn centralbassäng	2	2013.0	0.6369603603603603	12.0	15.7	8.0	7_SE581700-113000	4.0	LYSE 4	12.683766666666665	17.6	7
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2016.0	0.597975	12.0	15.7	8.0	8_SE581700-113000	4.0	SK5	11.9595	17.6	8
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2015.0	0.54832	12.0	15.7	8.0	9_SE581700-113000	4.0	SK5	10.9664	17.6	9
MODERATE	SE581700-113000	Gullmarn centralbassäng	2	2014.0	0.5434316666666668	12.0	15.7	8.0	10_SE581700-113000	4.0	SK5	10.868633333333335	17.6	10
GOOD	SE581700-113000	Gullmarn centralbassäng	2	2013.0	0.6336468468468468	12.0	15.7	8.0	11_SE581700-113000	4.0	SK5	12.622466666666666	17.6	11
BAD	SE654470-222700	Gussöfjärden	22	2016.0	0.011186555555555555	2.0	7.5	1.3	0_SE654470-222700	0.9	R 8-10	0.0503395	13.0	0
MODERATE	SE654470-222700	Gussöfjärden	22	2015.0	0.42001428571428573	2.0	7.5	1.3	1_SE654470-222700	0.9	R 8-10	1.37005	13.0	1
BAD	SE654470-222700	Gussöfjärden	22	2014.0	0.011252400000000001	2.0	7.5	1.3	2_SE654470-222700	0.9	R 8-10	0.0506358	13.0	2
GOOD	SE654470-222700	Gussöfjärden	22	2013.0	0.6006985454545455	2.0	7.5	1.3	3_SE654470-222700	0.9	R 8-10	2.01921	13.0	3
MODERATE	SE654470-222700	Gussöfjärden	22	2016.0	0.44999428571428574	2.0	7.5	1.3	4_SE654470-222700	0.9	R 8-11	1.47498	13.0	4
BAD	SE654470-222700	Gussöfjärden	22	2015.0	0.1121468888888889	2.0	7.5	1.3	5_SE654470-222700	0.9	R 8-11	0.504661	13.0	5
BAD	SE654470-222700	Gussöfjärden	22	2014.0	0.011252400000000001	2.0	7.5	1.3	6_SE654470-222700	0.9	R 8-11	0.0506358	13.0	6
	SE654470-222700	Gussöfjärden	22	2013.0					7_SE654470-222700		R 8-11			7
BAD	SE654470-222700	Gussöfjärden	22	2016.0	0.03655488888888889	2.0	7.5	1.3	8_SE654470-222700	0.9	R 8-4	0.164497	13.0	8
POOR	SE654470-222700	Gussöfjärden	22	2015.0	0.22898400000000002	2.0	7.5	1.3	9_SE654470-222700	0.9	R 8-4	0.957968	13.0	9
	SE654470-222700	Gussöfjärden	22	2014.0					10_SE654470-222700		R 8-4			10
POOR	SE654470-222700	Gussöfjärden	22	2013.0	0.293075	2.0	7.5	1.3	11_SE654470-222700	0.9	R 8-4	1.08615	13.0	11
BAD	SE654470-222700	Gussöfjärden	22	2016.0	0.05311977777777778	2.0	7.5	1.3	12_SE654470-222700	0.9	R 8-5	0.239039	13.0	12
BAD	SE654470-222700	Gussöfjärden	22	2015.0	0.1121468888888889	2.0	7.5	1.3	13_SE654470-222700	0.9	R 8-5	0.504661	13.0	13
	SE654470-222700	Gussöfjärden	22	2014.0					14_SE654470-222700		R 8-5			14
GOOD	SE654470-222700	Gussöfjärden	22	2013.0	0.6408843636363636	2.0	7.5	1.3	15_SE654470-222700	0.9	R 8-5	3.12432	13.0	15
MODERATE	SE654470-222700	Gussöfjärden	22	2016.0	0.4250028571428572	2.0	7.5	1.3	16_SE654470-222700	0.9	R 8-6	1.38751	13.0	16
BAD	SE654470-222700	Gussöfjärden	22	2015.0	0.047307111111111105	2.0	7.5	1.3	17_SE654470-222700	0.9	R 8-6	0.212882	13.0	17
BAD	SE654470-222700	Gussöfjärden	22	2014.0	0.07680977777777778	2.0	7.5	1.3	18_SE654470-222700	0.9	R 8-6	0.345644	13.0	18
BAD	SE654470-222700	Gussöfjärden	22	2013.0	0.168786	2.0	7.5	1.3	19_SE654470-222700	0.9	R 8-6	0.759537	13.0	19
	SE654470-222700	Gussöfjärden	22	2016.0					20_SE654470-222700		R 8-12			20
	SE654470-222700	Gussöfjärden	22	2015.0					21_SE654470-222700		R 8-12			21
BAD	SE654470-222700	Gussöfjärden	22	2014.0	0.16793333333333335	2.0	7.5	1.3	22_SE654470-222700	0.9	R 8-12	0.7557	13.0	22
BAD	SE654470-222700	Gussöfjärden	22	2013.0	0.16793333333333335	2.0	7.5	1.3	23_SE654470-222700	0.9	R 8-12	0.7557	13.0	23
	SE654470-222700	Gussöfjärden	22	2016.0					24_SE654470-222700		R 8-18			24
	SE654470-222700	Gussöfjärden	22	2015.0					25_SE654470-222700		R 8-18			25
	SE654470-222700	Gussöfjärden	22	2014.0					26_SE654470-222700		R 8-18			26
MODERATE	SE654470-222700	Gussöfjärden	22	2013.0	0.5151057142857143	2.0	7.5	1.3	27_SE654470-222700	0.9	R 8-18	1.70287	13.0	27
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.5287092307692308	4.0	10.0	2.7	0_SE633000-195000	1.8	N 10	3.53661	13.0	0
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.44680923076923074	4.0	10.0	2.7	1_SE633000-195000	1.8	N 10	3.00426	13.0	1
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.5241938461538462	4.0	10.0	2.7	2_SE633000-195000	1.8	N 10	3.50726	13.0	2
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.43596769230769233	4.0	10.0	2.7	3_SE633000-195000	1.8	N 10	2.93379	13.0	3
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.5109738461538462	4.0	10.0	2.7	4_SE633000-195000	1.8	N 11	3.42133	13.0	4
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.5941615384615385	4.0	10.0	2.7	5_SE633000-195000	1.8	N 11	3.96205	13.0	5
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.5202507692307693	4.0	10.0	2.7	6_SE633000-195000	1.8	N 11	3.48163	13.0	6
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.5335107692307692	4.0	10.0	2.7	7_SE633000-195000	1.8	N 11	3.56782	13.0	7
GOOD	SE633000-195000	Örefjärden	20	2016.0	0.602696	4.0	10.0	2.7	8_SE633000-195000	1.8	N 6	4.08088	13.0	8
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.5406215384615385	4.0	10.0	2.7	9_SE633000-195000	1.8	N 6	3.61404	13.0	9
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.5879138461538462	4.0	10.0	2.7	10_SE633000-195000	1.8	N 6	3.92144	13.0	10
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.5711215384615385	4.0	10.0	2.7	11_SE633000-195000	1.8	N 6	3.81229	13.0	11
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.5306169230769231	4.0	10.0	2.7	12_SE633000-195000	1.8	N 7	3.54901	13.0	12
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.45250153846153846	4.0	10.0	2.7	13_SE633000-195000	1.8	N 7	3.04126	13.0	13
GOOD	SE633000-195000	Örefjärden	20	2014.0	0.6058533333333334	4.0	10.0	2.7	14_SE633000-195000	1.8	N 7	4.1756	13.0	14
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.43782	4.0	10.0	2.7	15_SE633000-195000	1.8	N 7	2.94583	13.0	15
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.5595753846153846	4.0	10.0	2.7	16_SE633000-195000	1.8	NB 5	3.73724	13.0	16
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.5197969230769232	4.0	10.0	2.7	17_SE633000-195000	1.8	NB 5	3.47868	13.0	17
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.5513323076923078	4.0	10.0	2.7	18_SE633000-195000	1.8	NB 5	3.68366	13.0	18
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.4439	4.0	10.0	2.7	19_SE633000-195000	1.8	NB 5	2.98535	13.0	19
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.5199184615384616	4.0	10.0	2.7	20_SE633000-195000	1.8	NB 7	3.47947	13.0	20
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.4455338461538461	4.0	10.0	2.7	21_SE633000-195000	1.8	NB 7	2.99597	13.0	21
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.4673692307692308	4.0	10.0	2.7	22_SE633000-195000	1.8	NB 7	3.1379	13.0	22
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.46767846153846154	4.0	10.0	2.7	23_SE633000-195000	1.8	NB 7	3.13991	13.0	23
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.4460676923076923	4.0	10.0	2.7	24_SE633000-195000	1.8	NB 8	2.99944	13.0	24
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.4452830769230769	4.0	10.0	2.7	25_SE633000-195000	1.8	NB 8	2.99434	13.0	25
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.427823076923077	4.0	10.0	2.7	26_SE633000-195000	1.8	NB 8	2.88085	13.0	26
POOR	SE633000-195000	Örefjärden	20	2013.0	0.31339777777777783	4.0	10.0	2.7	27_SE633000-195000	1.8	NB 8	2.31029	13.0	27
GOOD	SE633000-195000	Örefjärden	20	2016.0	0.625123	4.0	10.0	2.7	28_SE633000-195000	1.8	N 8	4.75369	13.0	28
MODERATE	SE633000-195000	Örefjärden	20	2015.0	0.5746692307692308	4.0	10.0	2.7	29_SE633000-195000	1.8	N 8	3.83535	13.0	29
GOOD	SE633000-195000	Örefjärden	20	2014.0	0.6045366666666666	4.0	10.0	2.7	30_SE633000-195000	1.8	N 8	4.1361	13.0	30
MODERATE	SE633000-195000	Örefjärden	20	2013.0	0.44466	4.0	10.0	2.7	31_SE633000-195000	1.8	N 8	2.99029	13.0	31
MODERATE	SE633000-195000	Örefjärden	20	2016.0	0.5281261538461539	4.0	10.0	2.7	32_SE633000-195000	1.8	NB 1	3.53282	13.0	32
POOR	SE633000-195000	Örefjärden	20	2015.0	0.3196355555555556	4.0	10.0	2.7	33_SE633000-195000	1.8	NB 1	2.33836	13.0	33
MODERATE	SE633000-195000	Örefjärden	20	2014.0	0.4363092307692308	4.0	10.0	2.7	34_SE633000-195000	1.8	NB 1	2.93601	13.0	34
