VISS_EU_CD	YEAR	count	max	mean	min	new_index	index_column
SE584340-174401	2013	9	11.492566666666667	8.864736296296295	5.627533333333333	0_SE584340-174401	0
SE584340-174401	2014	9	10.667	7.3822392592592605	4.10117	1_SE584340-174401	1
SE584340-174401	2015	8	11.733533333333334	9.483953333333334	7.4080900000000005	2_SE584340-174401	2
SE584340-174401	2016	18	10.2622	6.5215996296296295	4.0755	3_SE584340-174401	3
SE581700-113000	2013	3	12.683766666666665	12.536988888888887	12.304733333333333	0_SE581700-113000	0
SE581700-113000	2014	3	13.0511	11.47759111111111	10.513039999999998	1_SE581700-113000	1
SE581700-113000	2015	3	12.0122	11.647666666666666	10.9664	2_SE581700-113000	2
SE581700-113000	2016	3	11.9595	11.689300000000001	11.231	3_SE581700-113000	3
SE654470-222700	2013	6	3.12432	1.5746311666666666	0.7557	0_SE654470-222700	0
SE654470-222700	2014	4	0.7557	0.30065390000000003	0.0506358	1_SE654470-222700	1
SE654470-222700	2015	5	1.37005	0.7100444	0.212882	2_SE654470-222700	2
SE654470-222700	2016	5	1.47498	0.6632731	0.0503395	3_SE654470-222700	3
SE633000-195000	2013	16	8.79185	4.2406049999999995	2.26493	0_SE633000-195000	0
SE633000-195000	2014	16	7.90089	4.568894375000001	2.88085	1_SE633000-195000	1
SE633000-195000	2015	10	10.3516	3.961591	2.33836	2_SE633000-195000	2
SE633000-195000	2016	10	6.36249	3.945298	2.99944	3_SE633000-195000	3
SE625180-181655	2013	12	10.4219	6.0016549999999995	1.44732	0_SE625180-181655	0
SE625180-181655	2014	12	10.3552	5.895622166666666	0.736582	1_SE625180-181655	1
SE625180-181655	2015	10	8.30618	5.503584000000001	2.30109	2_SE625180-181655	2
SE625180-181655	2016	9	10.6123	6.706725555555555	3.39819	3_SE625180-181655	3
SE654820-222660	2013	4	2.98842	1.33554175	0.537261	0_SE654820-222660	0
SE654820-222660	2014	4	1.23799	0.7489477499999999	0.363261	1_SE654820-222660	1
SE654820-222660	2015	5	2.07793	0.9882826	0.373968	2_SE654820-222660	2
SE654820-222660	2016	5	1.0558	0.7101918	0.337188	3_SE654820-222660	3
SE628750-183300	2013	1	0.63499	0.63499	0.63499	0_SE628750-183300	0
SE628750-183300	2014	1	0.474162	0.474162	0.474162	1_SE628750-183300	1
SE582050-165820	2013	8	8.40439	5.981598750000001	1.32075	0_SE582050-165820	0
SE582050-165820	2014	8	9.4046	5.96909125	1.02538	1_SE582050-165820	1
SE582050-165820	2015	8	8.54097	6.037185229166666	1.1240618333333334	2_SE582050-165820	2
SE582050-165820	2017	2	8.97275	8.531369999999999	8.08999	3_SE582050-165820	3
SE580688-114860	2013	1	11.519266666666667	11.519266666666667	11.519266666666667	0_SE580688-114860	0
SE580688-114860	2014	1	7.7023633333333335	7.7023633333333335	7.7023633333333335	1_SE580688-114860	1
SE580688-114860	2015	1	10.054	10.054	10.054	2_SE580688-114860	2
SE580688-114860	2016	1	12.85895	12.85895	12.85895	3_SE580688-114860	3
SE633550-200700	2013	12	7.38008	4.6922875	2.4960966666666664	0_SE633550-200700	0
SE633550-200700	2014	5	8.39881	5.704936000000001	3.9225499999999998	1_SE633550-200700	1
SE633550-200700	2015	5	5.00909	4.008068	3.05338	2_SE633550-200700	2
SE633550-200700	2016	5	7.45501	4.8506219999999995	2.9741	3_SE633550-200700	3
SE562000-123800	2013	1	12.194580000000002	12.194580000000002	12.194580000000002	0_SE562000-123800	0
SE562000-123800	2014	1	11.588959999999998	11.588959999999998	11.588959999999998	1_SE562000-123800	1
SE562000-123800	2015	1	11.34332	11.34332	11.34332	2_SE562000-123800	2
SE562000-123800	2016	1	11.4055	11.4055	11.4055	3_SE562000-123800	3
SE652920-222650	2013	9	7.14694	2.2463426444444443	0.0506358	0_SE652920-222650	0
SE652920-222650	2014	9	2.77124	1.2083540555555556	0.0500465	1_SE652920-222650	1
SE652920-222650	2015	10	7.32014	1.6938188099999998	0.0504661	2_SE652920-222650	2
SE652920-222650	2016	9	6.2304	2.1262316444444442	0.0863168	3_SE652920-222650	3
SE575700-114240	2013	1	12.149766666666666	12.149766666666666	12.149766666666666	0_SE575700-114240	0
SE575700-114240	2014	1	11.366150000000001	11.366150000000001	11.366150000000001	1_SE575700-114240	1
SE575700-114240	2016	1	10.412	10.412	10.412	2_SE575700-114240	2
SE581740-114820	2014	2	11.6874	7.91833375	4.1492675000000006	0_SE581740-114820	0
SE581740-114820	2015	2	11.33125	6.704392500000001	2.077535	1_SE581740-114820	1
SE581740-114820	2016	2	10.345825000000001	6.855487500000001	3.36515	2_SE581740-114820	2
