CPHL	CPHL_INTEG	CPHL_INTEG_CALC	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
	2.205		0	58.80_17.63	1.2		2013-06-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.5213860544217687	0	0.5442176870748299	0_SE584340-174401
	1.41		0	58.80_17.63	1.2		2013-06-17	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.851063829787234	1	0.851063829787234	1_SE584340-174401
	2.445		0	58.80_17.63	1.2		2013-07-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.48799846625766874	2	0.49079754601226994	2_SE584340-174401
	3.55		0	58.80_17.63	1.2		2013-07-16	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.38802816901408455	3	0.3380281690140845	3_SE584340-174401
	3.355		0	58.80_17.63	1.2		2013-07-30	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.4047969448584203	4	0.35767511177347244	4_SE584340-174401
	1.095		0	58.80_17.63	1.2		2013-08-13	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	1.0	5	1.0	5_SE584340-174401
	2.72		0	58.80_17.63	1.2		2013-08-27	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.45698529411764705	6	0.4411764705882352	6_SE584340-174401
	2.63		0	58.80_17.63	1.2		2014-06-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.466421102661597	7	0.45627376425855515	7_SE584340-174401
	2.64		0	58.80_17.63	1.2		2014-06-16	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.4653409090909091	8	0.45454545454545453	8_SE584340-174401
	3.675		0	58.80_17.63	1.2		2014-07-03	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.37653061224489803	9	0.326530612244898	9_SE584340-174401
	3.25		0	58.80_17.63	1.2		2014-07-17	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.4120192307692308	10	0.3692307692307692	10_SE584340-174401
	1.48		0	58.80_17.63	1.2		2014-07-31	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.8108108108108107	11	0.8108108108108107	11_SE584340-174401
	1.55		0	58.80_17.63	1.2		2014-08-12	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.7602977667493795	12	0.7741935483870968	12_SE584340-174401
	1.69		0	58.80_17.63	1.2		2014-08-26	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.6616294947655893	13	0.7100591715976331	13_SE584340-174401
	1.755		0	58.80_17.63	1.2		2015-06-04	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.6211702827087442	14	0.6837606837606838	14_SE584340-174401
	1.67		0	58.80_17.63	1.2		2015-06-16	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.6747121142330722	15	0.718562874251497	15_SE584340-174401
	1.93		0	58.80_17.63	1.2		2015-07-01	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.56985103626943	16	0.6217616580310881	16_SE584340-174401
	2.25		0	58.80_17.63	1.2		2015-07-14	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5145833333333334	17	0.5333333333333333	17_SE584340-174401
	1.69		0	58.80_17.63	1.2		2015-07-30	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.6616294947655893	18	0.7100591715976331	18_SE584340-174401
	2.76		0	58.80_17.63	1.2		2015-08-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.45298913043478267	19	0.4347826086956522	19_SE584340-174401
	2.795		0	58.80_17.63	1.2		2015-08-26	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.44958631484794276	20	0.4293381037567084	20_SE584340-174401
	4.86		0	58.80_17.63	1.2		2016-06-09	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.2969135802469136	21	0.24691358024691357	21_SE584340-174401
	3.6		0	58.80_17.63	1.2		2016-06-21	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.38333333333333336	22	0.3333333333333333	22_SE584340-174401
	1.12		0	58.80_17.63	1.2		2016-07-11	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	1.0	23	1.0	23_SE584340-174401
	1.3		0	58.80_17.63	1.2		2016-07-19	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.923076923076923	24	0.923076923076923	24_SE584340-174401
	1.74		0	58.80_17.63	1.2		2016-08-03	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.6302387267904508	25	0.689655172413793	25_SE584340-174401
	0.96		0	58.80_17.63	1.2		2016-08-16	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	1.0	26	1.0	26_SE584340-174401
	1.99		0	58.80_17.63	1.2		2016-08-31	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5581344221105528	27	0.6030150753768844	27_SE584340-174401
	1.7		0	58.26_11.43	1.9		2013-06-04	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	0	1.0	0_SE581700-113000
	1.5		0	58.26_11.43	1.9		2013-06-26	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	1	1.0	1_SE581700-113000
	1.1		0	58.26_11.43	1.9		2013-07-01	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	2	1.0	2_SE581700-113000
	1.3		0	58.26_11.43	1.9		2013-07-30	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	3	1.0	3_SE581700-113000
	0.6		0	58.26_11.43	1.9		2013-08-06	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	4	1.0	4_SE581700-113000
	0.4		0	58.26_11.43	1.9		2013-08-12	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	5	1.0	5_SE581700-113000
	2.7		0	58.26_11.43	1.9		2014-06-03	GOOD	SE581700-113000	02 - Västkustens fjordar	2014	0.7336182336182335	6	0.7037037037037036	6_SE581700-113000
	0.7		0	58.26_11.43	1.9		2014-07-01	HIGH	SE581700-113000	02 - Västkustens fjordar	2014	1.0	7	1.0	7_SE581700-113000
	0.8		0	58.26_11.43	1.9		2014-07-11	HIGH	SE581700-113000	02 - Västkustens fjordar	2014	1.0	8	1.0	8_SE581700-113000
