DEPH_count	PHOS	PTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_PHOS	index_column	local_EQR
3	0.6566666666666667	0.8633333333333333	0.248	6.257000000000001	2013-01-15	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.31688663282571905		(0, 'SE584340-174401')	0.3776649746192893
3	0.67	0.89	0.248	6.233666666666667	2013-02-12	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.30686567164179107		(1, 'SE584340-174401')	0.3701492537313433
3	0.9766666666666666	1.22	0.248	6.9816666666666665	2013-12-11	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.17512063081087448		(2, 'SE584340-174401')	0.25392491467576794
3	0.9966666666666667	1.28	0.248	7.080000000000001	2014-01-14	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.17160650444008765		(3, 'SE584340-174401')	0.24882943143812708
3	0.8466666666666667	1.1133333333333335	0.248	6.6610000000000005	2014-02-11	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.20388451443569552		(4, 'SE584340-174401')	0.2929133858267716
3	0.7466666666666667	1.0266666666666666	0.248	6.367333333333334	2014-12-09	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.2561904761904762		(5, 'SE584340-174401')	0.33214285714285713
3	1.11	1.3433333333333335	0.248	6.916666666666667	2015-01-22	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.154085119602361		(6, 'SE584340-174401')	0.2234234234234234
3	1.0266666666666666	1.2166666666666666	0.248	6.803333333333334	2015-02-10	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.1665920286609942		(7, 'SE584340-174401')	0.24155844155844156
3	1.096666666666667	1.3533333333333335	0.248	7.031666666666666	2015-12-08	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.15595849491667538		(8, 'SE584340-174401')	0.22613981762917928
3	1.1133333333333335	1.366666666666667	0.248	7.136666666666667	2016-01-12	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.15362378690894074		(9, 'SE584340-174401')	0.22275449101796405
3	1.0599999999999998	1.3166666666666667	0.248	6.936666666666667	2016-02-16	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.16135328562134033		(10, 'SE584340-174401')	0.23396226415094343
3	0.7600000000000001	1.01	0.248	6.636666666666667	2016-12-13	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.24842105263157893		(11, 'SE584340-174401')	0.32631578947368417
3	0.6666666666666666	0.8666666666666667	0.440449	21.858999999999998	2013-01-28	GOOD	SE581700-113000	02 - Västkustens fjordar	2013	0.6009621428571428	True	(1, 'SE581700-113000')	0.6606735
3	0.53	0.9133333333333334	0.41835	19.849999999999998	2014-02-08	GOOD	SE581700-113000	02 - Västkustens fjordar	2014	0.7847708894878704	True	(11, 'SE581700-113000')	0.7893396226415094
4	0.7275	1.0525	0.497	31.4475	2015-02-05	GOOD	SE581700-113000	02 - Västkustens fjordar	2015	0.6330878743249877	True	(19, 'SE581700-113000')	0.6831615120274914
3	0.6166666666666667	1.07	0.45261866666666667	22.965333333333334	2016-02-03	GOOD	SE581700-113000	02 - Västkustens fjordar	2016	0.7056803088803089	True	(28, 'SE581700-113000')	0.7339762162162162
4	0.61	0.915	0.497	31.840000000000003	2017-03-07	HIGH	SE581700-113000	02 - Västkustens fjordar	2017	0.8147540983606557	True	(39, 'SE581700-113000')	0.8147540983606557
3	0.8566666666666666	1.04	0.24735266666666667	6.764666666666667	2013-02-02	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.1991300147591574		(0, 'SE561400-161201')	0.2887385214007782
3	0.82	1.0666666666666667	0.247236	6.748	2013-02-14	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.21438414634146347		(1, 'SE561400-161201')	0.30150731707317074
3	0.5933333333333333	1.1966666666666665	0.249	7.457666666666667	2013-12-07	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.3620786516853934		(2, 'SE561400-161201')	0.4196629213483147
1	0.68	0.9	0.24830000000000002	6.9	2013-12-17	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.29393382352941183		(3, 'SE561400-161201')	0.36514705882352944
1	0.71	1.06	0.24760000000000001	6.8	2013-12-18	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.2734154929577466		(4, 'SE561400-161201')	0.34873239436619724
1	0.81	0.87	0.249	7.6	2014-01-15	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.2217592592592593		(5, 'SE561400-161201')	0.3074074074074074
1	0.68	0.9	0.24760000000000001	6.8	2014-01-16	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.2926470588235295		(6, 'SE561400-161201')	0.36411764705882355
3	0.9033333333333333	1.2033333333333334	0.249	7.32	2014-02-05	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.19010052169487213		(7, 'SE561400-161201')	0.27564575645756456
1	0.72	0.88	0.249	7.2	2014-02-21	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.2697916666666667		(8, 'SE561400-161201')	0.3458333333333333
3	0.8066666666666666	1.1666666666666667	0.249	7.484999999999999	2014-02-26	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.22334710743801656		(9, 'SE561400-161201')	0.3086776859504132
3	0.7033333333333333	1.4233333333333336	0.249	7.039000000000001	2014-12-07	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.28003554502369676		(10, 'SE561400-161201')	0.3540284360189574
2	0.615	0.76	0.2455	6.5	2014-12-09	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.3364837398373983		(11, 'SE561400-161201')	0.3991869918699187
1	0.735	1.04	0.249	7.41	2015-01-21	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.2609693877551021		(12, 'SE561400-161201')	0.33877551020408164
1	0.715	0.94	0.249	7.19	2015-01-22	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.27281468531468533		(13, 'SE561400-161201')	0.34825174825174826
1	0.873	1.11	0.249	7.02	2015-02-12	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.19670577082592725		(14, 'SE561400-161201')	0.2852233676975945
2	1.0150000000000001	1.475	0.249	7.4719999999999995	2015-02-16	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.16918634278919653		(15, 'SE561400-161201')	0.24532019704433494
1	0.567	0.91	0.249	7.4	2015-12-08	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.386441798941799		(16, 'SE561400-161201')	0.4391534391534392
1	0.565	0.9	0.249	7.3	2015-12-09	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.3883849557522125		(17, 'SE561400-161201')	0.44070796460177
3	0.7333333333333334	1.3066666666666666	0.249	7.643666666666667	2015-12-12	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.2619318181818182		(18, 'SE561400-161201')	0.33954545454545454
