DEPH_count	DIN	NTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR
3	0.02	20.91	15.774970666666665	5.754666666666668	2013-06-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.5767475617002158	(0, 'SE584340-174401')	0.7544223178702374
3	0.16	20.206666666666667	15.392819333333335	5.875333333333333	2013-06-17	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.5834266818631716	(1, 'SE584340-174401')	0.7617693500494888
3	0.049999999999999996	21.116666666666667	15.430823333333336	5.863333333333333	2013-07-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.5552194876946259	(2, 'SE584340-174401')	0.7307414364640885
3	0.11333333333333333	22.87	15.153182999999999	5.9510000000000005	2013-07-16	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.49325368684660326	(3, 'SE584340-174401')	0.6625790555312636
3	0.23666666666666666	25.603333333333335	15.056061666666668	5.9816666666666665	2013-07-30	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.4255007633949178	(4, 'SE584340-174401')	0.5880508397344096
3	0.02666666666666667	21.37	14.998000000000001	6.073333333333333	2013-08-13	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.5289318075466882	(5, 'SE584340-174401')	0.7018249883013571
3	0.19666666666666666	24.203333333333333	14.998000000000001	6.137666666666667	2013-08-27	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.4542424659763869	(6, 'SE584340-174401')	0.6196667125740256
2	0.25	21.15	14.998000000000001	6.128	2014-06-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5355684504620676	(7, 'SE584340-174401')	0.7091252955082743
3	0.08333333333333333	20.44666666666667	14.998000000000001	6.077000000000001	2014-06-16	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5577437235083142	(8, 'SE584340-174401')	0.7335180958591457
3	0.27666666666666667	24.63	15.27775166666667	5.911666666666666	2014-07-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.4548094218678873	(9, 'SE584340-174401')	0.6202903640546761
3	0.2966666666666667	25.63	15.441380000000002	5.859999999999999	2014-07-17	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.4386117121271239	(10, 'SE584340-174401')	0.6024728833398363
3	1.8200000000000003	25.69	15.451936666666668	5.8566666666666665	2014-07-31	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.4377060995317127	(11, 'SE584340-174401')	0.601476709484884
3	1.2700000000000002	25.166666666666668	15.311533	5.901	2014-08-12	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.44400480433473805	(12, 'SE584340-174401')	0.6084052847682119
3	0.51	21.023333333333337	14.998000000000001	6.308	2014-08-26	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5394525563227006	(13, 'SE584340-174401')	0.7133978119549707
3	0.33	19.41	14.998000000000001	6.410333333333334	2015-06-04	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5933586248887641	(14, 'SE584340-174401')	0.7726944873776405
3	0.5433333333333333	19.84	14.998000000000001	6.577000000000001	2015-06-16	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5781341642228739	(15, 'SE584340-174401')	0.7559475806451613
3	0.12666666666666668	19.976666666666667	14.998000000000001	6.200333333333333	2015-07-01	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5734326411116	(16, 'SE584340-174401')	0.7507759052227599
3	0.043333333333333335	21.123333333333335	14.998000000000001	6.276666666666666	2015-07-14	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5363822858536446	(17, 'SE584340-174401')	0.710020514439009
3	0.35000000000000003	20.19666666666667	14.998000000000001	6.216000000000001	2015-07-30	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5659979894672088	(18, 'SE584340-174401')	0.7425977884139296
3	0.48333333333333334	22.433333333333334	14.998000000000001	6.082	2015-08-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.49868972038362835	(19, 'SE584340-174401')	0.6685586924219912
3	0.4766666666666666	24.19666666666667	15.643012333333335	5.796333333333333	2015-08-26	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.47863137922829335	(20, 'SE584340-174401')	0.6464945171511227
3	0.12333333333333334	25.366666666666664	15.483606666666667	5.846666666666667	2016-06-09	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.4458107752956636	(21, 'SE584340-174401')	0.61039185282523
3	0.09333333333333334	24.290000000000003	15.589173333333335	5.8133333333333335	2016-06-21	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.4743580722831443	(22, 'SE584340-174401')	0.6417938795114587
3	0.09999999999999999	18.793333333333333	15.10356666666667	5.966666666666666	2016-07-11	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.6525915415237874	(23, 'SE584340-174401')	0.8036661936857044
3	0.17666666666666667	18.936666666666667	14.998000000000001	6.13	2016-07-19	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.6266854427037494	(24, 'SE584340-174401')	0.7920084492166872
3	0.14333333333333334	21.573333333333334	14.998000000000001	6.226666666666667	2016-08-03	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5229183054275761	(25, 'SE584340-174401')	0.6952101359703338
3	0.09000000000000001	18.536666666666665	14.998000000000001	6.656666666666666	2016-08-16	GOOD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.6646646286639095	(26, 'SE584340-174401')	0.8090990828987593
