DEPH_count	DIN	NTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_DIN	index_column	local_EQR
3	5.696666666666666	23.063333333333333	17.002	6.257000000000001	2013-01-15	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.4908087703935455		(0, 'SE584340-174401')	0.7371874548345136
3	6.59	24.08	17.002	6.233666666666667	2013-02-12	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.45419190932186837		(1, 'SE584340-174401')	0.7060631229235881
3	4.213333333333334	20.87666666666667	17.002	6.9816666666666665	2013-12-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.58164946323412		(2, 'SE584340-174401')	0.8144020437490019
3	4.9799999999999995	21.876666666666665	17.002	7.080000000000001	2014-01-14	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5378530263240449		(3, 'SE584340-174401')	0.777175072375438
3	5.013333333333333	21.713333333333335	17.002	6.6610000000000005	2014-02-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5447308060467048		(4, 'SE584340-174401')	0.783021185139699
3	5.286666666666666	22.603333333333335	17.002	6.367333333333334	2014-12-09	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5084587558663045		(5, 'SE584340-174401')	0.7521899424863588
3	5.973333333333334	22.7	17.002	6.916666666666667	2015-01-22	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5046903342834931		(6, 'SE584340-174401')	0.7489867841409691
3	5.176666666666667	21.46666666666667	17.002	6.803333333333334	2015-02-10	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5553160394592618		(7, 'SE584340-174401')	0.7920186335403725
3	4.983333333333333	21.99666666666667	17.002	7.031666666666666	2015-12-08	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5328650508544074		(8, 'SE584340-174401')	0.7729352932262462
3	5.433333333333334	22.52	17.002	7.136666666666667	2016-01-12	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5117333611952775		(9, 'SE584340-174401')	0.7549733570159858
3	5.963333333333334	23.63	17.002	6.936666666666667	2016-02-16	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.47001070423937663		(10, 'SE584340-174401')	0.7195090986034701
3	4.206666666666666	21.7	17.002	6.636666666666667	2016-12-13	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5452968284087829		(11, 'SE584340-174401')	0.7835023041474655
7	8.86	22.528571428571432	22.36293	21.646142857142856	2013-01-08	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	0.9877458254068904	True	(0, 'SE581700-113000')	0.9926474952441342
4	13.2275	29.449999999999996	23.155874999999998	20.387500000000003	2014-01-06	MODERATE	SE581700-113000	02 - Västkustens fjordar	2014	0.5960816727727639	True	(9, 'SE581700-113000')	0.7862775891341257
4	12.1825	26.150000000000006	23.946525	19.1325	2015-03-05	HIGH	SE581700-113000	02 - Västkustens fjordar	2015	0.8595618228170806	True	(21, 'SE581700-113000')	0.9157370936902484
