DEPH	DOXY	MONTH	POSITION	SDATE	STATN	VISS_EU_CD	WATER_TYPE_AREA	YEAR	index_column	new_index	source_DOXY
0.0	7.73	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5220	5220_SE581700-113000	DOXY_BTL
2.0	7.25	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5221	5221_SE581700-113000	DOXY_BTL
5.0	7.15	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5222	5222_SE581700-113000	DOXY_BTL
10.0	6.68	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5223	5223_SE581700-113000	DOXY_BTL
15.0	6.12	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5224	5224_SE581700-113000	DOXY_BTL
20.0	5.89	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5225	5225_SE581700-113000	DOXY_BTL
30.0	5.73	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5226	5226_SE581700-113000	DOXY_BTL
40.0	5.15	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5227	5227_SE581700-113000	DOXY_BTL
50.0	5.04	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5228	5228_SE581700-113000	DOXY_BTL
60.0	4.34	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5229	5229_SE581700-113000	DOXY_BTL
71.0	1.41	12	58.39_11.63	2017-12-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5230	5230_SE581700-113000	DOXY_BTL
69.0	4.69	11	58.26_11.44	2017-11-08	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5319	5319_SE581700-113000	DOXY_BTL
0.0	5.72	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5349	5349_SE581700-113000	DOXY_BTL
2.0	5.67	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5350	5350_SE581700-113000	DOXY_BTL
5.0	5.63	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5351	5351_SE581700-113000	DOXY_BTL
10.0	5.14	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5352	5352_SE581700-113000	DOXY_BTL
15.0	4.64	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5353	5353_SE581700-113000	DOXY_BTL
20.0	4.86	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5354	5354_SE581700-113000	DOXY_BTL
30.0	5.09	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5355	5355_SE581700-113000	DOXY_BTL
40.0	4.92	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5356	5356_SE581700-113000	DOXY_BTL
50.0	4.87	11	58.39_11.63	2017-11-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5357	5357_SE581700-113000	DOXY_BTL
