VISS_EU_CD	local_EQR	PTOT	SALT	YEAR_count	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
SE584340-174401	0.4466982567091658	0.6908333333333334	6.081511904761905	4	['14 - Östergötlands yttre kustvatten']	0.14785714285714285	0.2963313963435176	POOR	(0, 'SE584340-174401')
SE581700-113000	0.7557709776725619	0.5544668178382464	24.635863533635675	5	['02 - Västkustens fjordar']	0.046814663643235076	0.6762849627876031	GOOD	(0, 'SE581700-113000')
SE561400-161201	0.4127259043505022	0.8106738095238095	7.131512619047619	5	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	0.29683928571428575	0.2620304757064732	POOR	(0, 'SE561400-161201')
SE654470-222700	1.0441301142966393	0.23555555555555555	1.9650833333333333	4	['22 - Norra Bottenviken. Inre kustvatten']	0.0225	1.0	HIGH	(0, 'SE654470-222700')
SE633000-195000	0.8294135119329591	0.2938194444444444	3.6906430555555554	4	['20 - Norra Kvarkens inre kustvatten']	0.02405555555555556	0.8204352757189043	HIGH	(0, 'SE633000-195000')
SE625180-181655	0.6936834454481635	0.3875	4.611916666666667	4	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.025555555555555557	0.5942576776801487	MODERATE	(0, 'SE625180-181655')
SE654820-222660	0.8380567287154167	0.36083333333333334	1.3718333333333332	4	['22 - Norra Bottenviken. Inre kustvatten']	0.07541666666666666	0.8094785043710786	HIGH	(0, 'SE654820-222660')
SE625000-180075	0.721365809496561	0.5681481481481482	3.703888888888889	3	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		0.6328704761485555	GOOD	(0, 'SE625000-180075')
SE628750-183300	0.3212051164499661	0.9163888888888889	4.11661111111111	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		0.2131824899411366	POOR	(0, 'SE628750-183300')
SE631346-184241	0.6119346689128681	0.4522222222222222	4.27211111111111	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		0.5199406081026074	MODERATE	(0, 'SE631346-184241')
SE631646-185280	0.5762642554937927	0.48833333333333334	4.0023333333333335	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		0.48751295953981155	MODERATE	(0, 'SE631646-185280')
SE583730-164501	0.5848421270100294	0.5656319444444444	5.317708333333334	4	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.2923159722222222	0.44484212701002934	MODERATE	(0, 'SE583730-164501')
SE582705-163350	0.49002427485350436	0.7103055555555556	3.9194444444444443	4	['13 - Östergötlands inre kustvatten']	0.33352777777777776	0.3444714165038937	POOR	(0, 'SE582705-163350')
SE582050-165820	0.48634121904274713	0.6408333333333333	6.158333333333333	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.3264444444444444	0.34037913226971905	POOR	(0, 'SE582050-165820')
SE582147-111771	0.7295066033593247	0.5701666666666666	24.99403333333333	5	['01n - Västkustens inre kustvatten']	0.04766666666666667	0.6325110055988745	GOOD	(0, 'SE582147-111771')
SE580688-114860	0.6563942574321902	0.6333666666666666	22.833199999999998	5	['02 - Västkustens fjordar']	0.07333333333333333	0.5489469118401812	MODERATE	(0, 'SE580688-114860')
SE575500-113750	0.9423775397838672	0.5263333333333333	20.730816666666666	5	['01n - Västkustens inre kustvatten']	0.05941666666666666	0.9322088703339615	HIGH	(0, 'SE575500-113750')
SE625900-174360	1.820834093225101	0.19104166666666667	1.8701458333333334	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		1.0	HIGH	(0, 'SE625900-174360')
SE630383-183500	0.8744228844544294	0.31037037037037035	4.287592592592593	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		0.8522622170052111	HIGH	(0, 'SE630383-183500')
SE633550-200700	1.0293478702110563	0.2672777777777778	3.0666666666666664	3	['21 - Norra Kvarkens yttre kustvatten']	0.065	1.0	HIGH	(0, 'SE633550-200700')
SE636570-203590	1.136322101109448	0.2715185185185185	2.2574074074074075	3	['20 - Norra Kvarkens inre kustvatten']	0.065	1.0	HIGH	(0, 'SE636570-203590')
SE633043-193300	0.5342146197402884	0.6063333333333333	4.011111111111111	3	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.08644444444444443	0.44928601794571676	MODERATE	(0, 'SE633043-193300')
SE552170-130626	0.37339954985380625	0.8801851851851853	7.765740740740742	3	['07 - Skånes kustvatten']	0.3414814814814815	0.2157641762985956	POOR	(0, 'SE552170-130626')
SE562000-123800	0.4906486940813381	0.7556944444444444	16.04236111111111	3	['05 - Södra Hallands och norra Öresunds kustvatten']	0.21319444444444446	0.38899846362510365	POOR	(0, 'SE562000-123800')
SE591400-183200	0.4396073675302364	1.0144206349206348	4.749841269841269	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.26435714285714285	0.28845263058915155	POOR	(0, 'SE591400-183200')
SE591200-183600	0.5372349577996459	0.5875	5.3881250000000005	4	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.051250000000000004	0.3969277308884954	POOR	(0, 'SE591200-183600')
SE592040-184000	0.33787706494316816	2.9357812500000002	4.539525173611111	4	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.3553559027777777	0.1877094805239823	BAD	(0, 'SE592040-184000')
SE592245-184400	0.37055069015151687	1.2525	5.0025	2	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.32625	0.211722989057241	POOR	(0, 'SE592245-184400')
SE600740-183460	0.31046013917263043	0.8183333333333334	4.92	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.09000000000000001	0.1826236112780179	BAD	(0, 'SE600740-183460')
SE601070-182870	0.3017168190775103	0.8450000000000001	4.990500000000001	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.07333333333333333	0.17748048181030018	BAD	(0, 'SE601070-182870')
SE625500-175153	1.5783045977011496	0.23818181818181816	2.2272727272727275	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']		1.0	HIGH	(0, 'SE625500-175153')
SE622126-172430	0.9942137751786876	0.28750000000000003	3.975	3	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.0175	0.993192676680809	HIGH	(0, 'SE622126-172430')
SE622339-172190	0.7105534077510561	0.41083333333333333	3.8416666666666663	3	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.02416666666666667	0.6162360119247018	GOOD	(0, 'SE622339-172190')
SE652920-222650	0.8805515947759228	0.33266666666666667	1.6333333333333335	3	['22 - Norra Bottenviken. Inre kustvatten']		0.8594724644422622	HIGH	(0, 'SE652920-222650')
SE656620-222480	0.30285682633256683	0.7933333333333333	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']		0.19539150085972057	BAD	(0, 'SE656620-222480')
SE656300-222750	0.22384931506849318	1.1322222222222222	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']		0.14441891294741496	BAD	(0, 'SE656300-222750')
SE655120-220380	0.6907565501654864	0.4255555555555555	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']		0.6010807859506949	GOOD	(0, 'SE655120-220380')
SE655180-218660	0.19382352941176473	1.2111111111111112	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']		0.12504743833017082	BAD	(0, 'SE655180-218660')
SE636150-199220	0.4435777371675843	0.7981944444444444	3.8874999999999997	3	['20 - Norra Kvarkens inre kustvatten']	0.0863888888888889	0.36697217145948047	POOR	(0, 'SE636150-199220')
SE635040-204196	0.6510297992645454	0.41111111111111115	3.0666666666666664	1	['20 - Norra Kvarkens inre kustvatten']		0.5645725447859504	MODERATE	(0, 'SE635040-204196')
SE637070-204260	0.27618016178433996	0.9266666666666667	3.4666666666666663	1	['20 - Norra Kvarkens inre kustvatten']		0.17818074953828386	BAD	(0, 'SE637070-204260')
SE636910-204040	0.4222888241882948	0.591111111111111	3.533333333333333	1	['20 - Norra Kvarkens inre kustvatten']		0.3403610302353685	POOR	(0, 'SE636910-204040')
SE602120-181610	0.4402043101411599	0.6066666666666667	4.733666666666667	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.04666666666666667	0.31788742369548223	POOR	(0, 'SE602120-181610')
SE582000-115270	0.6823380058810609	0.6332777777777778	22.438333333333336	5	['02 - Västkustens fjordar']	0.101	0.5736552436962485	MODERATE	(0, 'SE582000-115270')
SE575700-114240	0.8341630491058983	0.486	21.242	1	['02 - Västkustens fjordar']	0.06133333333333333	0.8048977048304687	HIGH	(0, 'SE575700-114240')
