YEAR	local_EQR	PTOT	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
2013	0.548116455414356	0.5547619047619048	5.948142857142857	7	SE584340-174401	14 - Östergötlands yttre kustvatten	0.03571428571428571	0.40811645541435604	MODERATE	(0, 'SE584340-174401')
2014	0.3988057688190114	0.7609523809523809	6.005238095238096	7	SE584340-174401	14 - Östergötlands yttre kustvatten	0.15761904761904763	0.2431175209100127	POOR	(1, 'SE584340-174401')
2015	0.4368619350628009	0.6895238095238095	6.222666666666667	7	SE584340-174401	14 - Östergötlands yttre kustvatten	0.20619047619047617	0.2854021500697788	POOR	(2, 'SE584340-174401')
2016	0.40300886754049475	0.7580952380952379	6.1499999999999995	7	SE584340-174401	14 - Östergötlands yttre kustvatten	0.19190476190476188	0.24778763060054976	POOR	(3, 'SE584340-174401')
2013	0.9497937950281744	0.4270748299319727	25.253363945578233	7	SE581700-113000	02 - Västkustens fjordar	0.04904761904761905	0.9409338765037347	HIGH	(0, 'SE581700-113000')
2014	0.7851519720375004	0.5245714285714286	25.596085714285714	5	SE581700-113000	02 - Västkustens fjordar	0.037047619047619045	0.7252532867291674	GOOD	(1, 'SE581700-113000')
2015	0.6630174965352066	0.6372619047619049	23.438307823129247	7	SE581700-113000	02 - Västkustens fjordar	0.051496598639455785	0.5552547586049588	MODERATE	(2, 'SE581700-113000')
2016	0.7260315126805503	0.5550925925925925	22.924851851851848	9	SE581700-113000	02 - Västkustens fjordar	0.04148148148148148	0.6267191878009173	GOOD	(3, 'SE581700-113000')
2017	0.6548601120813777	0.6283333333333334	25.966708333333333	4	SE581700-113000	02 - Västkustens fjordar	0.05500000000000001	0.5474858210298836	MODERATE	(4, 'SE581700-113000')
2013	0.6250723771777992	0.5442857142857143	6.787571428571428	7	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.14190476190476192	0.4905451211217135	MODERATE	(0, 'SE561400-161201')
2014	0.3750378225992688	0.842	7.0592	5	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.3791666666666667	0.2176915559991398	POOR	(1, 'SE561400-161201')
2015	0.3774476554383616	0.8487499999999999	7.340791666666667	8	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.448875	0.22052665345689604	POOR	(2, 'SE561400-161201')
2016	0.3538136020209521	0.8883333333333333	7.3	6	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.34758333333333336	0.19656311223386227	BAD	(3, 'SE561400-161201')
2017	0.33225806451612905	0.93	7.169999999999999	1	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.16666666666666666	0.1845878136200717	BAD	(4, 'SE561400-161201')
2013	1.1403439863860652	0.23555555555555555	1.5911111111111111	3	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	0.02888888888888889	1.0	HIGH	(0, 'SE654470-222700')
2014	0.8282372932785081	0.26	2.3216666666666668	3	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	0.015555555555555557	0.7974818475407259	GOOD	(1, 'SE654470-222700')
2015	1.1190933129459735	0.25000000000000006	1.709666666666667	3	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	0.027777777777777776	1.0	HIGH	(2, 'SE654470-222700')
2016	1.0888458645760108	0.19666666666666668	2.237888888888889	3	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	0.017777777777777778	1.0	HIGH	(3, 'SE654470-222700')
2013	0.8184982235094143	0.2906666666666667	3.7744666666666666	5	SE633000-195000	20 - Norra Kvarkens inre kustvatten	0.02733333333333333	0.8089454984309624	HIGH	(0, 'SE633000-195000')
2014	0.7867087567534439	0.3127777777777778	3.6200555555555556	6	SE633000-195000	20 - Norra Kvarkens inre kustvatten	0.017222222222222226	0.7611812612557397	GOOD	(1, 'SE633000-195000')
2015	0.9322394157747309	0.27266666666666667	3.5448	5	SE633000-195000	20 - Norra Kvarkens inre kustvatten	0.0225	0.9286730692365589	HIGH	(2, 'SE633000-195000')
2016	0.7802076516942476	0.29916666666666664	3.82325	4	SE633000-195000	20 - Norra Kvarkens inre kustvatten	0.029166666666666667	0.7503460861570792	GOOD	(3, 'SE633000-195000')
2013	0.715701575212429	0.3711111111111111	4.549111111111111	3	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.024444444444444446	0.6241562695575832	GOOD	(0, 'SE625180-181655')
2014	0.6771179906542057	0.38222222222222224	4.7301111111111105	3	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.02	0.5791981733220053	MODERATE	(1, 'SE625180-181655')
2015	0.6233553614457832	0.44333333333333336	4.74	2	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.03333333333333333	0.530323055859803	MODERATE	(2, 'SE625180-181655')
2016	0.7585588544802361	0.35333333333333333	4.428444444444445	3	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.024444444444444446	0.6900905453542094	GOOD	(3, 'SE625180-181655')
2013	1.0738233520994604	0.30833333333333335	0.811	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	0.09333333333333334	1.0	HIGH	(0, 'SE654820-222660')
2014	0.6169763318171305	0.38	2.0	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	0.030000000000000002	0.5336148471064823	MODERATE	(1, 'SE654820-222660')
2015	0.8098479305599662	0.4916666666666666	0.5501666666666667	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	0.115	0.7712113293713803	GOOD	(2, 'SE654820-222660')
2016	0.8515793003851092	0.2633333333333333	2.1261666666666663	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	0.06333333333333332	0.8253874122177757	HIGH	(3, 'SE654820-222660')
2013	0.2523148148148148	1.08	4.25	1	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.16278375149342894	BAD	(0, 'SE625000-180075')
2015	0.9404811519911164	0.3211111111111111	3.3394444444444447	3	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.9299778258719017	HIGH	(1, 'SE625000-180075')
2016	0.9713014616837521	0.3033333333333333	3.522222222222222	3	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.9662370137455908	HIGH	(2, 'SE625000-180075')
2015	0.36100984328954255	0.7916666666666666	4.031	3	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.2600115803406383	POOR	(0, 'SE628750-183300')
2016	0.28140038961038966	1.041111111111111	4.202222222222222	3	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.18154863845831593	BAD	(1, 'SE628750-183300')
2015	0.5526356404475908	0.4883333333333333	4.3536666666666655	3	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.4660324004069008	MODERATE	(0, 'SE631346-184241')
2016	0.6712336973781453	0.41611111111111115	4.190555555555556	3	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.5738488157983139	MODERATE	(1, 'SE631346-184241')
2015	0.5556216124433683	0.5077777777777778	3.991888888888889	3	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.4687469204030621	MODERATE	(0, 'SE631646-185280')
2016	0.5969068985442171	0.4688888888888889	4.012777777777778	3	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.506278998676561	MODERATE	(1, 'SE631646-185280')
2013	0.7015115864527629	0.47444444444444445	4.133333333333334	3	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.16	0.5615115864527629	MODERATE	(0, 'SE583730-164501')
2014	0.6248601254539717	0.5166666666666667	5.3	3	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.26666666666666666	0.4848601254539717	MODERATE	(1, 'SE583730-164501')
2015	0.5709922842592872	0.5766666666666667	5.866666666666667	3	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.33888888888888885	0.43099228425928715	MODERATE	(2, 'SE583730-164501')
2016	0.4420045118740955	0.69475	5.970833333333333	4	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.40370833333333334	0.2911161243045506	POOR	(3, 'SE583730-164501')
2013	0.5127673796791443	0.6777777777777779	3.1333333333333333	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.1922222222222222	0.369741532976827	POOR	(0, 'SE582705-163350')
2014	0.5946789478157403	0.5811111111111112	3.766666666666666	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.2788888888888889	0.45467894781574025	MODERATE	(1, 'SE582705-163350')
2015	0.4945383693815823	0.6900000000000001	3.5666666666666664	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.31666666666666665	0.34948707709064697	POOR	(2, 'SE582705-163350')
2016	0.3581124025375506	0.8923333333333333	5.211111111111111	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.5463333333333332	0.19895133474308369	BAD	(3, 'SE582705-163350')
2013	0.6217289427398868	0.48888888888888893	6.033333333333334	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.13555555555555557	0.48172894273988676	MODERATE	(0, 'SE582050-165820')
2014	0.4597901533494755	0.6877777777777777	6.0	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.3977777777777778	0.3108779481660839	POOR	(1, 'SE582050-165820')
2015	0.4041670266905058	0.7377777777777776	6.266666666666667	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.3811111111111112	0.24907447410056202	POOR	(2, 'SE582050-165820')
2016	0.45967875339112035	0.6488888888888887	6.333333333333333	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.3913333333333333	0.3107541704345782	POOR	(3, 'SE582050-165820')
2013	0.8618717308423509	0.4683333333333333	25.718499999999995	3	SE582147-111771	01n - Västkustens inre kustvatten	0.061666666666666675	0.8374961539321776	HIGH	(0, 'SE582147-111771')
2014	0.7123773904356714	0.5758333333333333	25.461666666666662	3	SE582147-111771	01n - Västkustens inre kustvatten	0.03	0.6039623173927857	GOOD	(1, 'SE582147-111771')
