DEPH_count	PHOS	PTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_PHOS	index_column	local_EQR
3	0.6566666666666667	0.8633333333333333	0.4	6.257000000000001	2013-01-15	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.42897431593083774		(0, 'SE584340-174401')	0.4633204633204634
3	0.67	0.89	0.4	6.233666666666667	2013-02-12	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.41690278456277485		(1, 'SE584340-174401')	0.44943820224719105
3	0.9766666666666666	1.22	0.4	6.9816666666666665	2013-12-11	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.2638251366120219		(2, 'SE584340-174401')	0.3278688524590164
3	0.9966666666666667	1.28	0.4	7.080000000000001	2014-01-14	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.24333333333333332		(3, 'SE584340-174401')	0.3125
3	0.8466666666666667	1.1133333333333335	0.4	6.6610000000000005	2014-02-11	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.3057085828343313		(4, 'SE584340-174401')	0.35928143712574845
3	0.7466666666666667	1.0266666666666666	0.4	6.367333333333334	2014-12-09	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.3461471861471862		(5, 'SE584340-174401')	0.38961038961038963
3	1.11	1.3433333333333335	0.4	6.916666666666667	2015-01-22	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.2236889991728701		(6, 'SE584340-174401')	0.2977667493796526
3	1.0266666666666666	1.2166666666666666	0.4	6.803333333333334	2015-02-10	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.26502283105022834		(7, 'SE584340-174401')	0.32876712328767127
3	1.096666666666667	1.3533333333333335	0.4	7.031666666666666	2015-12-08	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.22075533661740554		(8, 'SE584340-174401')	0.29556650246305416
3	1.1133333333333335	1.366666666666667	0.4	7.136666666666667	2016-01-12	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.216910569105691		(9, 'SE584340-174401')	0.2926829268292683
3	1.0599999999999998	1.3166666666666667	0.4	6.936666666666667	2016-02-16	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.23172995780590716		(10, 'SE584340-174401')	0.3037974683544304
3	0.7600000000000001	1.01	0.4	6.636666666666667	2016-12-13	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.3547194719471948		(11, 'SE584340-174401')	0.39603960396039606
3	0.6666666666666666	0.8666666666666667	0.640449	21.858999999999998	2013-01-28	MODERATE	SE581700-113000	02 - Västkustens fjordar	2013	0.5990282051282052	True	(1, 'SE581700-113000')	0.7389796153846154
3	0.53	0.9133333333333334	0.61835	19.849999999999998	2014-02-08	MODERATE	SE581700-113000	02 - Västkustens fjordar	2014	0.5400243309002433	True	(11, 'SE581700-113000')	0.6770255474452553
4	0.7275	1.0525	0.6970000000000001	31.4475	2015-02-05	MODERATE	SE581700-113000	02 - Västkustens fjordar	2015	0.5259359800927498	True	(19, 'SE581700-113000')	0.6622327790973872
3	0.6166666666666667	1.07	0.6526186666666667	22.965333333333334	2016-02-03	MODERATE	SE581700-113000	02 - Västkustens fjordar	2016	0.47611808337041983	True	(28, 'SE581700-113000')	0.6099239875389408
4	0.61	0.915	0.6970000000000001	31.840000000000003	2017-03-07	GOOD	SE581700-113000	02 - Västkustens fjordar	2017	0.6395429706905117	True	(39, 'SE581700-113000')	0.7617486338797814
3	0.8566666666666666	1.04	0.49470533333333333	6.764666666666667	2013-02-02	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.4051620046620047		(0, 'SE561400-161201')	0.47567820512820513
3	0.82	1.0666666666666667	0.494472	6.748	2013-02-14	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.3919593750000001		(1, 'SE561400-161201')	0.4635675
3	0.5933333333333333	1.1966666666666665	0.498	7.457666666666667	2013-12-07	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.3326949860724235		(2, 'SE561400-161201')	0.41615598885793875
1	0.68	0.9	0.49660000000000004	6.9	2013-12-17	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.47434343434343446		(3, 'SE561400-161201')	0.5517777777777778
1	0.71	1.06	0.49520000000000003	6.8	2013-12-18	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.3964622641509435		(4, 'SE561400-161201')	0.46716981132075475
1	0.81	0.87	0.498	7.6	2014-01-15	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.49310344827586217		(5, 'SE561400-161201')	0.5724137931034483
1	0.68	0.9	0.49520000000000003	6.8	2014-01-16	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.47292929292929303		(6, 'SE561400-161201')	0.5502222222222223
3	0.9033333333333333	1.2033333333333334	0.498	7.32	2014-02-05	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.3298130193905817		(7, 'SE561400-161201')	0.4138504155124654
1	0.72	0.88	0.498	7.2	2014-02-21	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.48719008264462815		(8, 'SE561400-161201')	0.5659090909090909
3	0.8066666666666666	1.1666666666666667	0.498	7.484999999999999	2014-02-26	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.3460714285714286		(9, 'SE561400-161201')	0.4268571428571428
3	0.7033333333333333	1.4233333333333336	0.498	7.039000000000001	2014-12-07	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.24985362997658075		(10, 'SE561400-161201')	0.3498829039812646
2	0.615	0.76	0.491	6.5	2014-12-09	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.5600478468899521		(11, 'SE561400-161201')	0.6460526315789473
1	0.735	1.04	0.498	7.41	2015-01-21	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.40804195804195803		(12, 'SE561400-161201')	0.4788461538461538
1	0.715	0.94	0.498	7.19	2015-01-22	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.4543520309477757		(13, 'SE561400-161201')	0.5297872340425532
1	0.873	1.11	0.498	7.02	2015-02-12	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.37331081081081086		(14, 'SE561400-161201')	0.4486486486486486
2	1.0150000000000001	1.475	0.498	7.4719999999999995	2015-02-16	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.2345338983050847		(15, 'SE561400-161201')	0.33762711864406775
1	0.567	0.91	0.498	7.4	2015-12-08	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.47022977022977025		(16, 'SE561400-161201')	0.5472527472527472
1	0.565	0.9	0.498	7.3	2015-12-09	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.4757575757575758		(17, 'SE561400-161201')	0.5533333333333333
