YEAR	local_EQR	PTOT	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
2013	0.41354250600889025	0.9911111111111112	6.490777777777779	3	SE584340-174401	14 - Östergötlands yttre kustvatten	0.7677777777777778	0.37805667467852033	POOR	(0, 'SE584340-174401')
2014	0.3537972755787127	1.14	6.702777777777778	3	SE584340-174401	14 - Östergötlands yttre kustvatten	0.8633333333333333	0.2983963674382836	POOR	(1, 'SE584340-174401')
2015	0.307366791710126	1.3044444444444445	6.917222222222222	3	SE584340-174401	14 - Östergötlands yttre kustvatten	1.0777777777777777	0.2364890556135013	POOR	(2, 'SE584340-174401')
2016	0.33083999971469824	1.231111111111111	6.903333333333333	3	SE584340-174401	14 - Östergötlands yttre kustvatten	0.9777777777777779	0.2677866662862643	POOR	(3, 'SE584340-174401')
2013	0.7389796153846154	0.8666666666666667	21.858999999999998	1	SE581700-113000	02 - Västkustens fjordar	0.6666666666666666	0.5990282051282052	MODERATE	(0, 'SE581700-113000')
2014	0.6770255474452553	0.9133333333333334	19.849999999999998	1	SE581700-113000	02 - Västkustens fjordar	0.53	0.5400243309002433	MODERATE	(1, 'SE581700-113000')
2015	0.6622327790973872	1.0525	31.4475	1	SE581700-113000	02 - Västkustens fjordar	0.7275	0.5259359800927498	MODERATE	(2, 'SE581700-113000')
2016	0.6099239875389408	1.07	22.965333333333334	1	SE581700-113000	02 - Västkustens fjordar	0.6166666666666667	0.47611808337041983	MODERATE	(3, 'SE581700-113000')
2017	0.7617486338797814	0.915	31.840000000000003	1	SE581700-113000	02 - Västkustens fjordar	0.61	0.6395429706905117	GOOD	(4, 'SE581700-113000')
2013	0.4748698566169353	1.0526666666666666	6.934066666666666	5	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.732	0.40442714237903216	MODERATE	(0, 'SE561400-161201')
2014	0.5035983143092259	1.0290476190476192	7.134857142857143	7	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.7483333333333333	0.43054392209929626	MODERATE	(1, 'SE561400-161201')
2015	0.46808824067815646	1.0973809523809523	7.34795238095238	7	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.7433333333333334	0.39761030084769566	POOR	(2, 'SE561400-161201')
2016	0.40004303834936183	1.2858333333333334	7.336500000000001	6	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.8857500000000001	0.31255379793670235	POOR	(3, 'SE561400-161201')
2017	0.39212598425196843	1.2700000000000002	7.316666666666666	1	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.7766666666666667	0.3026574803149606	POOR	(4, 'SE561400-161201')
