DEPH	MONTH	POSITION	REFERENCE_VALUE	SALT	SDATE	SECCHI	STATN	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
	8	58.80_17.63	10.0		2016-08-31		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		46		46_SE584340-174401
	8	58.80_17.63	10.0		2016-08-16		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		67		67_SE584340-174401
	8	58.80_17.63	10.0		2016-08-03		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		75		75_SE584340-174401
	7	58.80_17.63	10.0		2016-07-19		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		95		95_SE584340-174401
	7	58.80_17.63	10.0		2016-07-11		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		100		100_SE584340-174401
	6	58.80_17.63	10.0		2016-06-21		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		121		121_SE584340-174401
	6	58.80_17.63	10.0		2016-06-09		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2016		135		135_SE584340-174401
	8	58.80_17.63	10.0		2015-08-26		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		249		249_SE584340-174401
	8	58.80_17.63	10.0		2015-08-11		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		259		259_SE584340-174401
	7	58.80_17.63	10.0		2015-07-30		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		301		301_SE584340-174401
	7	58.80_17.63	10.0		2015-07-14		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		334		334_SE584340-174401
	7	58.80_17.63	10.0		2015-07-01		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		371		371_SE584340-174401
	6	58.80_17.63	10.0		2015-06-16		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		374		374_SE584340-174401
	6	58.80_17.63	10.0		2015-06-04		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2015		386		386_SE584340-174401
	8	58.80_17.63	10.0		2014-08-26		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		550		550_SE584340-174401
	8	58.80_17.63	10.0		2014-08-12		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		568		568_SE584340-174401
	7	58.80_17.63	10.0		2014-07-31		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		583		583_SE584340-174401
	7	58.80_17.63	10.0		2014-07-17		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		600		600_SE584340-174401
	7	58.80_17.63	10.0		2014-07-03		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		621		621_SE584340-174401
	6	58.80_17.63	10.0		2014-06-16		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		636		636_SE584340-174401
	6	58.80_17.63	10.0		2014-06-03		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2014		653		653_SE584340-174401
	8	58.80_17.63	10.0		2013-08-27		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		913		913_SE584340-174401
	8	58.80_17.63	10.0		2013-08-13		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		941		941_SE584340-174401
	7	58.80_17.63	10.0		2013-07-30		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		970		970_SE584340-174401
	7	58.80_17.63	10.0		2013-07-16		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		996		996_SE584340-174401
	7	58.80_17.63	10.0		2013-07-03		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		1021		1021_SE584340-174401
	6	58.80_17.63	10.0		2013-06-17		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		1042		1042_SE584340-174401
	6	58.80_17.63	10.0		2013-06-03		B1	BAD	SE584340-174401	14 - Östergötlands yttre kustvatten	2013		1068		1068_SE584340-174401
0.0	8	58.80_17.63	10.0	6.41	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7896	0.61	7896_SE584340-174401
5.0	8	58.80_17.63	10.0	6.41	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7897	0.61	7897_SE584340-174401
10.0	8	58.80_17.63	10.0	6.41	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7898	0.61	7898_SE584340-174401
15.0	8	58.80_17.63	10.0	6.43	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7899	0.61	7899_SE584340-174401
20.0	8	58.80_17.63	10.0	6.44	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7900	0.61	7900_SE584340-174401
25.0	8	58.80_17.63	10.0	6.5	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7901	0.61	7901_SE584340-174401
30.0	8	58.80_17.63	10.0	6.64	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7902	0.61	7902_SE584340-174401
35.0	8	58.80_17.63	10.0	7.12	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7903	0.61	7903_SE584340-174401
40.0	8	58.80_17.63	10.0	7.29	2016-08-31	6.1	B1	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.54	7904	0.61	7904_SE584340-174401
0.0	8	58.80_17.63	10.0	6.66	2016-08-16	10.0	B1	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	1.0	8004	1.0	8004_SE584340-174401
5.0	8	58.80_17.63	10.0	6.65	2016-08-16	10.0	B1	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	1.0	8005	1.0	8005_SE584340-174401
10.0	8	58.80_17.63	10.0	6.66	2016-08-16	10.0	B1	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	1.0	8006	1.0	8006_SE584340-174401
15.0	8	58.80_17.63	10.0	7.02	2016-08-16	10.0	B1	HIGH	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	1.0	8007	1.0	8007_SE584340-174401
