Datatyp	Kontrollstatus	Kontrollerad av	År	Provtagningsplattform (kod)	Besöks-ID	Expeditions-ID	Stationsnamn	Rapporterat stationsnamn	Projekt	Beställare	Provtagningsdatum	Provtagningstid (start)	Provtagningsdatum (slut)	Provtagningstid (slut)	Shark prov id	Provets latitud (DM)	Provets longitud (DM)	Provets latitud (DD)	Provets longitud (DD)	Positioneringssystem (kod)	Vattendjup vid stationen	Vindriktning (dekagrad)	Vindhastighet (m/s)	Lufttemperatur (C)	Luftens våttemperatur (C)	Lufttryck (hpa)	Väderlek (kod)	Molnighet (kod)	Vågobservation (kod)	Is (kod)	Siktdjup (m)	Q-flagga Siktdjup	Övrig Provtagning	Besökskommentar	Provtagningsdjup (m)	Tryck CTD (dbar)	Q-flagga Tryck CTD	Temperatur vattenhämtare (C)	Q-flagga Temperatur vattenhämtare	Temperatur CTD (C)	Q-flagga Temperatur CTD	Salinitet vattenhämtare (o/oo psu)	Q-flagga Salinitet vattenhämtare	Salinitet CTD (o/oo psu)	Q-flagga Salinitet CTD	Konduktivitet_25 vattenhämtare (mS/m)	Q-flagga Konduktivitet_25 vattenhämtare	Konduktivitet CTD (mS/m)	Q-flagga Konduktivitet CTD	Syrgashalt O2 vattenhämtare (ml/l)	Q-flagga Syrgashalt O2 vattenhämtare	Syrgashalt O2 CTD (ml/l)	Q-flagga Syrgashalt O2 CTD	Svavelväte H2S (umol/l)	Q-flagga Svavelväte H2S-S	pH	Q-flagga pH	pH Laboratorium	Q-flagga pH Laboratorium	Temperatur pH Laboratorium (C)	Q-flagga Temperatur pH Laboratorium	Alkalinitet (mmol/l)	Q-flagga Alkalinitet	Fosfatfosfor PO4-P (umol/l)	Q-flagga Fosfatfosfor PO4-P	Total fosfor Tot-P (umol/l)	Q-flagga Total fosfor Tot-P	Nitritkväve NO2-N (umol/l)	Q-flagga Nitritkväve NO2-N	Nitratkväve NO3-N (umol/l)	Q-flagga Nitratkväve NO3-N	Nitrit+Nitratkväve NO2+NO3-N (umol/l)	Q-flagga Nitrit+Nitratkväve NO2+NO3-N	Ammoniumkväve NH4-N (umol/l)	Q-flagga Ammoniumkväve NH4-N	Total kväve Tot-N (umol/l)	Q-flagga Total kväve Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flagga Humus	Klorofyll-a vattenhämtare (ug/l)	Q-flagga Klorofyll-a vattenhämtare	Löst Organiskt Kol DOC (umol/l)	Q-flagga Löst Organiskt Kol DOC	Partikulärt Organiskt Kol POC (umol/l)	Q-flagga Partikulärt Organiskt Kol POC	Total Organiskt Kol TOC (mg/l)	Q-flagga Total Organiskt Kol TOC	Partikulärt Organiskt Kväve PON (umol/l)	Q-flagga Partikulärt Organiskt Kväve PON	Strömriktning (dekagrader)	Q-flagga Strömriktning	Strömhastighet (m/s)	Q-flagga Strömhastighet	Lignin (mg/l)	Q-flagga Lignin	Gulämne (1/l)	Q-flagga Gulämne	Aluminium (ug/l)	Q-flagga Aluminium	Urea (umol/l)	Q-flagga Urea	CDOM (1/m)	Q-flagga CDOM	Provkommentar	Vattenkategori	Vattendistrikt	Vattenförekomst	Vattenförekomst-kod	Typområde	Havsbassäng	HELCOM/OSPAR-område	Ekonomisk zon	Län	Kommun	Stationid VISS	Rapporterande institut	Datavärd	Internetåtkomst	Leveranspaket	Filnamn
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+0+0	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					0					13.01				22.50						6.34		6.1						8.058		25.0				0.15				0.02	<	0.10	<	0.10	<	0.20	<			1.6				2.8																																			SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+5+5	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					5					13.00				22.50						6.32		6.1						8.048		25.2				0.15				0.02	<	0.10	<	0.10	<	0.20	<			1.6				2.6																																			SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+10+10	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					10			13.01		13.00				22.51						6.33		6.0						8.049		25.1				0.14				0.02	<	0.10	<	0.10	<	0.20	<			1.6				2.6																																			SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+15+15	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					15					14.09				26.50						5.40		4.8						7.996		25.2				0.26				0.14		0.62		0.76		0.20	<			3.6				4.6																																			SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+20+20	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					20					14.64				32.94						4.10		3.8						7.902		25.2				0.62				0.10		4.93		5.03		0.20	<			10.4				0.7																																			SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+25+25	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					25			13.38		14.54				33.34						4.07		3.8						7.899		25.1				0.66				0.09		5.25		5.34		0.20	<			11.1				0.4																																			SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0009	1	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-12	00:40			SHARK-HYD+2017+34EB+0009+30+30	56 56.44	12 12.70	56.94063	12.21162		31	22	14	13.3		1000	9	9	9	0					30			14.44												4.09								7.897		24.9				0.66				0.12		5.14		5.26		0.20	<			11.5																																							SE631835-128131	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+0+0	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					0					13.39				28.49						6.27		5.9												0.17				0.02		0.10	<	0.10	<	0.20	<			0.7				3.9																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+5+5	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					5			13.38		13.38				28.47						6.25		5.9												0.16				0.02	<	0.10	<	0.10	<	0.20	<			0.7				3.7																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+10+10	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					10					13.43				28.59						6.25		5.8												0.16				0.02	<	0.10	<	0.10	<	0.20	<			0.7				3.6																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+15+15	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					15			14.68		14.63				31.26						5.49		5.1												0.35				0.46		0.59		1.05		0.31				3.1				1.8																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
