Datatyp	Kontrollstatus	Kontrollerad av	År	Stationsnamn	Rapporterat stationsnamn	Projekt	Beställare	Provtagningsplattform (kod)	Besöks-ID	Expeditions-ID	Shark prov id MD5	Provtagningsdatum (start)	Provtagningstid (start)	Provtagningsdatum (slut)	Provtagningstid (slut)	Provets latitud (DM)	Provets longitud (DM)	Provets latitud (DD)	Provets longitud (DD)	Positioneringssystem (kod)	Vattendjup vid stationen	Vindriktning (dekagrad)	Vindhastighet (m/s)	Lufttemperatur (C)	Lufttryck (hpa)	Väderlek (kod)	Molnighet (kod)	Vågobservation (kod)	Is (kod)	Secchidjup	Q-flagga för Secchidjup	Besökskommentar	Rapporterat id	Provets övre djup	Provets nedre djup	Provtagningslaboratorium	Provtagande laboratorium ackrediterat	Provtagartyp	Provtagningsvolym (l)	Provkommentar	Parameter	Mätvärde	Mätenhet	Q-flagga	Värde beräknat av datavärd	Analysmetod (kod)	Metoddokument	Metodreferens (kod)	Variabel-kommentar	Mätosäkerhet	Beräkningsosäkerhetsmetod (kod)	Rapporteringsgräns	Detektionsgräns	Mätområde	Analyslaboratorium	Analyslaboratorium ackrediterat	Analysdatum	Vattenkategori	Vattendistrikt	Vattenförekomst	Vattenförekomst-kod	Typområde	Havsbassäng	HELCOM/OSPAR-område	Ekonomisk zon	Län	Kommun	Stationid VISS	Vatten land stationstyp (kod)	Typ av övervakningsstation (kod)	Syfte med provtagningen (kod)	Typ av övervakningsprogram (kod)	Rapporterande institut	Datavärd	Internetåtkomst	Leveranspaket	Filnamn
Chlorophyll	Pågående-SMHI	Leverantör	2016	B1	B1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77UR	66	66	8977bac3839a7c03ce181d30c3478d18	2016-12-13	08:10:00			58 48.19	17 37.52	58.80317	17.62533	NOM	41.5	27	8			2	8	2	0				1	0	20	Stockholms universitet		HOS			Chlorophyll-a	0.68	ug/l				SS028146								Stockholms universitet			2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		C	B		NATL	Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_DEEP	SHARK_Chlorophyll_2016_DEEP_version_2017-05-24.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	N14 FALKENBERG	N14 FALKENBERG	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Naturvårdsverket, Sveriges meteorologiska och hydrologiska institut 	34AR	620	20	d511996c1c639d1a95381e2e596e74df	2016-12-11	22:10			56 56.40	12 12.71	56.94000	12.21187	GPS	31	31	10	2.6	1013	9	9	9	0			DROPVIDEO FÖR NATURTYPSBESTÄMNING	2016-N14_FALKENBERG-SLA_0-10-113	0	10	Sveriges meteorologiska och hydrologiska institut 	Y	HOS	0.137		Chlorophyll-a	4.4	ug/l			FLM	1. Grasshoff, K., K. Kremling & M. Ehrhardt, eds, (1999) Methods of Seawater Analysis. 3rd ed. Wiley-VCH.			12% 0.02-0.20 µM  4% 0.20-10 µM	ISO 11352-2012	0.2 µg/l	0.1 µg/l	0.2-100 µg/l	Sveriges meteorologiska och hydrologiska institut 	Y		3 - Havsområde  mellan 1 NM och 12 NM		Del av n Kattegatts utsjövatten	570714-115613		N Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Hallands län	Falkenberg	SE631835-128131					Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_SMHI	SHARK_Chlorophyll_2016_SMHI_version_2017-11-07.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SLÄGGÖ	SLÄGGÖ	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Naturvårdsverket, Sveriges meteorologiska och hydrologiska institut 	34AR	618	20	be002fe95b2ac07a3c9e2fce823c4b00	2016-12-11	08:20			58 15.59	11 26.13	58.25987	11.43557	GPS	71	35	2.5	6.7	1002	2	7	2	0	7		ZOOPLANKTONPROVTAGNING ÅT UMEÅ	2016-SLAGGO-SLA_0-10-257	0	10	Sveriges meteorologiska och hydrologiska institut 	Y	HOS	0.137		Chlorophyll-a	0.6	ug/l			FLM	1. Grasshoff, K., K. Kremling & M. Ehrhardt, eds, (1999) Methods of Seawater Analysis. 3rd ed. Wiley-VCH.			12% 0.02-0.20 µM  4% 0.20-10 µM	ISO 11352-2012	0.2 µg/l	0.1 µg/l	0.2-100 µg/l	Sveriges meteorologiska och hydrologiska institut 	Y		2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345					Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_SMHI	SHARK_Chlorophyll_2016_SMHI_version_2017-11-07.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	REF M1V1	REF M1V1	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Naturvårdsverket, Sveriges meteorologiska och hydrologiska institut 	34AR	606	20	beea6dcd855bfc1ea7c108c984193723	2016-12-09	08:30			56 22.25	16 12.11	56.37085	16.20185	GPS	20	27	4.9	7.9	1010	2	8	3	0	4		FILMNING AV HAVSBOTTEN FÖR NATURTYPSKARTERING	2016-REFM1V1-SLA_0-10-087	0	10	Sveriges meteorologiska och hydrologiska institut 	Y	HOS	0.137		Chlorophyll-a	1.5	ug/l			FLM	1. Grasshoff, K., K. Kremling & M. Ehrhardt, eds, (1999) Methods of Seawater Analysis. 3rd ed. Wiley-VCH.			12% 0.02-0.20 µM  4% 0.20-10 µM	ISO 11352-2012	0.2 µg/l	0.1 µg/l	0.2-100 µg/l	Sveriges meteorologiska och hydrologiska institut 	Y		2 - Havsområde innanför 1 NM	Södra Östersjöns vattendistrikt	S Kalmarsunds utsjövatten	561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Kalmar län	Torsås	SE624923-152449					Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_SMHI	SHARK_Chlorophyll_2016_SMHI_version_2017-11-07.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	BY31 LANDSORTSDJ	BY31 LANDSORTSDJ	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Naturvårdsverket, Sveriges meteorologiska och hydrologiska institut 	34AR	603	20	d7531976a29b1cb9d452a2037c16a327	2016-12-08	10:20			58 36.62	18 14.18	58.61040	18.23635	GPS	445	28	11	8.0	997	2	7	4	0	8			2016-BY31_LANDSORTSDJUPET-SLA_0-10-104	0	10	Sveriges meteorologiska och hydrologiska institut 	Y	HOS	0.137		Chlorophyll-a	0.9	ug/l			FLM	1. Grasshoff, K., K. Kremling & M. Ehrhardt, eds, (1999) Methods of Seawater Analysis. 3rd ed. Wiley-VCH.			12% 0.02-0.20 µM  4% 0.20-10 µM	ISO 11352-2012	0.2 µg/l	0.1 µg/l	0.2-100 µg/l	Sveriges meteorologiska och hydrologiska institut 	Y		3 - Havsområde  mellan 1 NM och 12 NM		Del av V Gotlandshavets utsjövatten	583649-180707		V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Stockholms län	Nynäshamn						Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_SMHI	SHARK_Chlorophyll_2016_SMHI_version_2017-11-07.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	RÅNEÅ-2	RA2	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		29	69413c4f262c8c470ad5bff1eca7a3ee	2016-12-07	13:45			65 43.77	22 26.80	65.72950	22.44667	GPS	13	0	0			2	7	0	2	3			1	0	10	Umeå Universitet	Y	HOS	0.2		Chlorophyll-a	1.02	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Gussöfjärden	654470-222700	22 - Norra Bottenviken. Inre kustvatten	Bottenviken	HELCOM	Svensk ekonomisk zon	Norrbottens län	Luleå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	RÅNEÅ-2	RA2	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		29	8ebb12ca65d60401a0e433abac8e95fb	2016-12-07	13:45			65 43.77	22 26.80	65.72950	22.44667	GPS	13	0	0			2	7	0	2	3			2	0	10	Umeå Universitet	Y	HOS	0.2		Chlorophyll-a	1.02	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Gussöfjärden	654470-222700	22 - Norra Bottenviken. Inre kustvatten	Bottenviken	HELCOM	Svensk ekonomisk zon	Norrbottens län	Luleå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SLÄGGÖ	SLÄGGÖ	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Naturvårdsverket, Sveriges meteorologiska och hydrologiska institut 	77SN	198		fba24835c806e4638318cd526a102e0c	2016-12-06	08:10			58 15.50	11 26.00	58.25833	11.43333	GPS	76	3	4	2	1026	1	3	2	0			SLANG 0-10M	2016-SLAGGO-SLA_0-10-247	0	10	Sveriges meteorologiska och hydrologiska institut 	Y	HOS	0.137		Chlorophyll-a	0.2	ug/l			FLM	1. Grasshoff, K., K. Kremling & M. Ehrhardt, eds, (1999) Methods of Seawater Analysis. 3rd ed. Wiley-VCH.			12% 0.02-0.20 µM  4% 0.20-10 µM	ISO 11352-2012	0.2 µg/l	0.1 µg/l	0.2-100 µg/l	Sveriges meteorologiska och hydrologiska institut 	Y		2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345					Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_SMHI	SHARK_Chlorophyll_2016_SMHI_version_2017-11-07.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	B3	B3	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		29	43efbe2b863c387b9dcf6401ccd3385b	2016-12-05	13:40			63 29.96	19 49.17	63.49933	19.81950	GPS	23	34	7			1	3	2	0	3			1	0	10	Umeå Universitet	Y	HOS	0.2		Chlorophyll-a	0.57	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Örefjärden	633000-195000	20 - Norra Kvarkens inre kustvatten	N Kvarken	HELCOM	Svensk ekonomisk zon	Västerbottens län	Umeå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	B3	B3	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		29	d421fbfa1609d99ef7074d370eebc3d0	2016-12-05	13:40			63 29.96	19 49.17	63.49933	19.81950	GPS	23	34	7			1	3	2	0	3			2	0	10	Umeå Universitet	Y	HOS	0.2		Chlorophyll-a	0.58	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Örefjärden	633000-195000	20 - Norra Kvarkens inre kustvatten	N Kvarken	HELCOM	Svensk ekonomisk zon	Västerbottens län	Umeå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
