Type_Area	active_type_areas	filter_DEPTH_INTERVAL_int	MIN_NR_YEARS	MIN_NR_VALUES	TIME_DELTA	POS_RADIUS	DEPTH	filter_MONTH_LIST
1n	x	0-10	3	3	3	0.1	5	1;2;3;12
1s	x	0-10	3	3	3	0.1	5	1;2;3;12
2	x	0-10	3	3	3	0.1	5	1;2;3;12
3	x	0-10	3	3	3	0.1	5	1;2;3;12
4	x	0-10	3	3	3	0.1	5	1;2;3;12
5	x	0-10	3	3	3	0.1	5	1;2;3;12
6	x	0-10	3	3	3	0.1	5	1;2;3;12
7	x	0-10	3	3	3	0.1	5	1;2;12
8	x	0-10	3	3	3	0.1	5	1;2;12
9	x	0-10	3	3	3	0.1	5	1;2;12
10	x	0-10	3	3	3	0.1	5	1;2;12
11	x	0-10	3	3	3	0.1	5	1;2;12
12s	x	0-10	3	3	3	0.1	5	1;2;12
12n	x	0-10	3	3	3	0.1	5	1;2;12
13	x	0-10	3	3	3	0.1	5	1;2;12
14	x	0-10	3	3	3	0.1	5	1;2;12
15	x	0-10	3	3	3	0.1	5	1;2;12
16	x	0-10	3	3	3	0.1	5	1;2;11;12
17	x	0-10	3	3	3	0.1	5	1;2;11;12
18	x	0-10	3	3	3	0.1	5	1;2;11;12
19	x	0-10	3	3	3	0.1	5	1;2;11;12
20	x	0-10	3	3	3	0.1	5	1;2;11;12
21	x	0-10	3	3	3	0.1	5	1;2;11;12
22	x	0-10	3	3	3	0.1	5	1;2;11;12
23	x	0-10	3	3	3	0.1	5	1;2;11;12
24	x	0-10	3	3	3	0.1	5	1;2;12
25	x	0-10	3	3	3	0.1	5	1;2;3;12
